iteration,total_runs,obs_realization,par_realization,head
2,190,43,43,1.67792
2,190,44,44,3.9257
2,190,45,45,0.176436
2,190,46,46,23.5955
2,190,47,47,2.49145
2,190,48,48,2.05242
2,190,base,base,0.016762
3,280,1,1,0.06637
3,280,2,2,0.683701
3,280,3,3,0.049474
3,280,4,4,0.58
3,280,5,5,0.35018
3,280,6,6,0.004925
3,280,7,7,0.086728
3,280,8,8,0.417685
3,280,9,9,0.267089
3,280,10,10,1.47632
3,280,11,11,0.233333
3,280,12,12,0.278545
3,280,13,13,0.347477
3,280,14,14,0.58325
3,280,15,15,0.562757
3,280,16,16,0.774637
3,280,17,17,0.078989
3,280,18,18,0.7816
3,280,19,19,0.560237
3,280,20,20,0.021501
3,280,21,21,0.123773
3,280,22,22,0.44936
3,280,23,23,0.031466
3,280,24,24,0.257329
3,280,25,25,0.058825
3,280,26,26,0.1168
3,280,27,27,0.848669
3,280,28,28,0.0529
3,280,29,29,0.30157
3,280,30,30,1.25367
3,280,31,31,2.45578
3,280,32,32,0.48548
3,280,33,33,0.255965
3,280,34,34,0.583465
3,280,35,35,0.657829
3,280,36,36,0.356474
3,280,37,37,0.00169
3,280,38,38,1.96663
3,280,39,39,0.437408
3,280,40,40,0.15889
3,280,41,41,1.07983
3,280,42,42,0.008693
3,280,43,43,0.101032
3,280,44,44,1.63506
3,280,45,45,0.651604
3,280,46,46,0.570181
3,280,47,47,0.009797
3,280,48,48,0.490213
4,360,1,1,0.080272
4,360,2,2,0.691417
4,360,3,3,0.059914
4,360,4,4,0.582644
4,360,5,5,0.340705
4,360,6,6,0.003338
4,360,7,7,0.080072
4,360,8,8,0.387346
4,360,10,10,1.43039
4,360,11,11,0.210834
4,360,12,12,0.367965
4,360,13,13,0.312533
4,360,14,14,0.585778
4,360,15,15,0.570069
4,360,16,16,0.786109
4,360,17,17,0.097657
4,360,18,18,0.845665
4,360,19,19,0.52289
4,360,20,20,0.019637
4,360,21,21,0.150848
4,360,22,22,0.451097
4,360,23,23,0.048193
4,360,24,24,0.257357
4,360,25,25,0.05746
4,360,26,26,0.151785
4,360,27,27,1.14237
4,360,28,28,0.078985
4,360,29,29,0.29362
4,360,30,30,1.25272
4,360,31,31,2.81833
4,360,32,32,0.489541
4,360,33,33,0.249925
4,360,34,34,0.582165
4,360,35,35,0.664705
4,360,36,36,0.326005
4,360,37,37,0.00109
4,360,38,38,2.16984
4,360,39,39,0.411377
4,360,40,40,0.160813
4,360,41,41,1.08174
4,360,42,42,0.006361
4,360,43,43,0.08948
4,360,44,44,1.82093
4,360,46,46,0.728909
4,360,47,47,0.017417
4,360,48,48,0.556141
5,438,1,1,0.066384
5,438,2,2,0.729668
5,438,3,3,0.069248
5,438,4,4,0.62729
5,438,5,5,0.366314
5,438,7,7,0.071642
5,438,8,8,0.374981
5,438,10,10,1.34162
5,438,11,11,0.167885
5,438,12,12,0.406205
5,438,13,13,0.257744
5,438,14,14,0.565408
5,438,15,15,0.58545
5,438,16,16,0.826033
5,438,17,17,0.0964
5,438,18,18,0.849317
5,438,19,19,0.446372
5,438,20,20,0.016081
5,438,21,21,0.140548
5,438,22,22,0.473449
5,438,23,23,0.047578
5,438,24,24,0.23753
5,438,25,25,0.071044
5,438,26,26,0.167353
5,438,27,27,1.50479
5,438,28,28,0.09172
5,438,29,29,0.317761
5,438,30,30,1.2693
5,438,31,31,2.9429
5,438,32,32,0.521245
5,438,33,33,0.272836
5,438,34,34,0.595773
5,438,35,35,0.704545
5,438,36,36,0.331885
5,438,38,38,2.34583
5,438,39,39,0.405997
5,438,40,40,0.183976
5,438,41,41,1.11346
5,438,42,42,0.010673
5,438,43,43,0.081869
5,438,44,44,1.78048
5,438,46,46,0.854325
5,438,47,47,0.021572
5,438,48,48,0.52309
6,488,0,0,0.517585
6,488,1,1,0.042562
6,488,2,2,0.053065
6,488,3,3,2.37065
6,488,4,4,0.484996
6,488,5,5,0.476401
6,488,6,6,6.01435
6,488,7,7,0.093997
6,488,8,8,0.244
6,488,9,9,0.27469
6,488,10,10,3.02056
6,488,11,11,1.58893
6,488,12,12,4.07983
6,488,13,13,1.11723
6,488,14,14,6.54724
6,488,15,15,0.950594
6,488,16,16,0.517672
6,488,17,17,2.64479
6,488,18,18,1.30427
6,488,19,19,2.07972
6,488,20,20,0.182113
6,488,21,21,0.821781
6,488,22,22,1.21225
6,488,23,23,0.504409
6,488,24,24,0.479592
6,488,25,25,0.104197
6,488,26,26,1.94475
6,488,27,27,22.9032
6,488,28,28,2.84808
6,488,29,29,0.06885
6,488,30,30,1.20785
6,488,31,31,8.89929
6,488,32,32,0.041026
6,488,33,33,0.167425
6,488,34,34,0.529105
6,488,35,35,0.65221
6,488,36,36,0.07312
6,488,37,37,0.067825
6,488,38,38,14.3141
6,488,39,39,1.68149
6,488,40,40,0.201492
6,488,41,41,1.0041
6,488,42,42,0.221714
6,488,43,43,0.382265
6,488,44,44,3.5828
6,488,45,45,0.13274
6,488,46,46,15.0824
6,488,47,47,0.96884
6,488,48,48,1.00836
6,488,base,base,0.0565
7,578,1,1,0.035858
7,578,2,2,0.496906
7,578,3,3,0.469754
7,578,4,4,0.413572
7,578,5,5,0.52258
7,578,6,6,0.257128
7,578,7,7,0.014473
7,578,8,8,0.15208
7,578,9,9,0.259208
7,578,10,10,1.57954
7,578,11,11,0.340002
7,578,12,12,1.11854
7,578,13,13,0.255349
7,578,14,14,1.32151
7,578,15,15,0.899201
7,578,16,16,0.796394
7,578,17,17,0.510617
7,578,18,18,1.44009
7,578,19,19,0.33241
7,578,20,20,0.036781
7,578,21,21,0.419453
7,578,22,22,0.348676
7,578,23,23,0.097421
7,578,24,24,0.489145
7,578,25,25,0.010216
7,578,26,26,0.724554
7,578,27,27,4.91925
7,578,28,28,0.26122
7,578,29,29,0.156493
7,578,30,30,1.24334
7,578,31,31,5.38634
7,578,32,32,0.34114
7,578,33,33,0.137717
7,578,34,34,0.591985
7,578,35,35,0.89801
7,578,36,36,0.242216
7,578,37,37,0.00468
7,578,38,38,5.3179
7,578,39,39,0.542005
7,578,40,40,0.149697
7,578,41,41,1.18121
7,578,42,42,0.015145
7,578,43,43,0.055133
7,578,44,44,2.72511
7,578,45,45,0.572794
7,578,46,46,3.062
7,578,47,47,0.070634
7,578,48,48,0.851834
8,614,1,1,0.035858
8,614,2,2,0.496906
8,614,3,3,0.469754
8,614,4,4,0.413572
8,614,5,5,0.52258
8,614,6,6,0.277877
8,614,7,7,0.014473
8,614,8,8,0.15208
8,614,9,9,0.259208
8,614,10,10,1.57954
8,614,11,11,0.340002
8,614,12,12,1.11854
8,614,13,13,0.255349
8,614,14,14,1.32151
8,614,15,15,0.899201
8,614,16,16,0.813077
8,614,17,17,0.510617
8,614,18,18,1.44009
8,614,19,19,0.33241
8,614,20,20,0.036781
8,614,21,21,0.419453
8,614,22,22,0.348676
8,614,23,23,0.097421
8,614,24,24,0.489145
8,614,25,25,0.010216
8,614,26,26,0.724554
8,614,27,27,4.91925
8,614,28,28,0.26122
8,614,29,29,0.156493
8,614,30,30,1.24334
8,614,31,31,5.38634
8,614,32,32,0.34114
8,614,33,33,0.137717
8,614,34,34,0.591985
8,614,35,35,0.89801
8,614,36,36,0.242216
8,614,37,37,0.00666
8,614,38,38,5.3179
8,614,39,39,0.542005
8,614,40,40,0.149697
8,614,41,41,1.18121
8,614,42,42,0.015145
8,614,43,43,0.055133
8,614,44,44,2.72511
8,614,45,45,0.572794
8,614,46,46,3.062
8,614,47,47,0.070634
8,614,48,48,0.851834
9,694,1,1,0.035705
9,694,2,2,0.49905
9,694,3,3,0.470905
9,694,4,4,0.415298
9,694,5,5,0.52258
9,694,6,6,0.280813
9,694,7,7,0.014152
9,694,8,8,0.151045
9,694,9,9,0.261377
9,694,10,10,1.57502
9,694,11,11,0.338081
9,694,12,12,1.13209
9,694,13,13,0.251362
9,694,14,14,1.32389
9,694,15,15,0.899201
9,694,16,16,0.814376
9,694,17,17,0.513448
9,694,18,18,1.43837
9,694,19,19,0.327874
9,694,20,20,0.037305
9,694,21,21,0.419453
9,694,22,22,0.348424
9,694,23,23,0.097994
9,694,24,24,0.48617
9,694,25,25,0.010397
9,694,27,27,4.99472
9,694,28,28,0.264186
9,694,29,29,0.157268
9,694,30,30,1.24334
9,694,31,31,5.41263
9,694,32,32,0.341965
9,694,33,33,0.138436
9,694,34,34,0.593488
9,694,35,35,0.899425
9,694,36,36,0.241925
9,694,37,37,0.007025
9,694,38,38,5.34216
9,694,39,39,0.5365
9,694,40,40,0.150773
9,694,41,41,1.18121
9,694,42,42,0.015269
9,694,43,43,0.053737
9,694,44,44,2.73692
9,694,45,45,0.574121
9,694,47,47,0.071825
9,694,48,48,0.855837
10,772,1,1,0.015986
10,772,2,2,0.557605
10,772,3,3,0.428309
10,772,4,4,0.483785
10,772,5,5,0.55457
10,772,7,7,0.00914
10,772,8,8,0.1549
10,772,9,9,0.303841
10,772,10,10,1.50378
10,772,11,11,0.24644
10,772,12,12,1.10905
10,772,13,13,0.1732
10,772,14,14,1.30229
10,772,15,15,0.94418
10,772,16,16,0.881665
10,772,17,17,0.441
10,772,18,18,1.24189
10,772,19,19,0.24554
10,772,20,20,0.05581
10,772,21,21,0.33829
10,772,22,22,0.370665
10,772,23,23,0.073288
10,772,24,24,0.42874
10,772,25,25,0.019213
10,772,27,27,5.35893
10,772,28,28,0.239264
10,772,29,29,0.197584
10,772,30,30,1.26416
10,772,31,31,4.9531
10,772,32,32,0.404321
10,772,33,33,0.17165
10,772,34,34,0.637352
10,772,35,35,0.978826
10,772,36,36,0.261796
10,772,37,37,0.020122
10,772,38,38,5.2033
10,772,40,40,0.208225
10,772,41,41,1.23965
10,772,42,42,0.006245
10,772,43,43,0.041785
10,772,44,44,2.46544
10,772,45,45,0.620033
10,772,47,47,0.062728
10,772,48,48,0.794386
11,808,1,1,0.170068
11,808,2,2,0.557605
11,808,3,3,0.428309
11,808,4,4,0.483785
11,808,5,5,0.55457
11,808,7,7,0.00914
11,808,8,8,0.1549
11,808,9,9,0.303841
11,808,10,10,1.50378
11,808,11,11,0.24644
11,808,12,12,1.10905
11,808,13,13,0.1732
11,808,14,14,1.30229
11,808,15,15,0.94418
11,808,16,16,0.881665
11,808,17,17,0.441
11,808,18,18,1.24189
11,808,19,19,0.24554
11,808,20,20,0.05581
11,808,21,21,0.33829
11,808,22,22,0.620309
11,808,23,23,0.073288
11,808,24,24,0.42874
11,808,25,25,0.019213
11,808,27,27,5.35893
11,808,28,28,0.239264
11,808,29,29,0.197584
11,808,30,30,1.26416
11,808,31,31,4.9531
11,808,32,32,0.404321
11,808,33,33,0.17165
11,808,34,34,0.637352
11,808,35,35,0.978826
11,808,36,36,0.261796
11,808,37,37,0.020122
11,808,38,38,5.2033
11,808,40,40,0.208225
11,808,41,41,1.23965
11,808,42,42,0.006245
11,808,43,43,0.041785
11,808,44,44,2.46544
11,808,45,45,0.620033
11,808,47,47,0.062728
11,808,48,48,0.794386
12,858,0,0,0.304609
12,858,1,1,0.043009
12,858,2,2,0.000697
12,858,3,3,3.50484
12,858,4,4,0.227933
12,858,5,5,0.437693
12,858,6,6,6.69269
12,858,7,7,0.107897
12,858,8,8,0.529105
12,858,9,9,0.183528
12,858,10,10,2.86148
12,858,11,11,1.31974
12,858,12,12,4.09571
12,858,13,13,0.6929
12,858,14,14,6.43659
12,858,15,15,1.00159
12,858,16,16,0.458429
12,858,17,17,3.25136
12,858,18,18,0.89317
12,858,19,19,1.22562
12,858,20,20,0.246852
12,858,21,21,1.05461
12,858,22,22,0.433714
12,858,23,23,0.346842
12,858,24,24,0.537949
12,858,25,25,0.389133
12,858,26,26,1.99112
12,858,27,27,20.3189
12,858,28,28,2.28919
12,858,29,29,0.042088
12,858,30,30,1.01469
12,858,31,31,9.20207
12,858,32,32,0.003177
12,858,33,33,0.034578
12,858,34,34,0.393732
12,858,35,35,0.711154
12,858,36,36,0.043877
12,858,37,37,0.056785
12,858,38,38,10.511
12,858,39,39,0.668552
12,858,40,40,0.084202
12,858,41,41,0.90952
12,858,42,42,0.440084
12,858,43,43,0.262505
12,858,44,44,3.03012
12,858,45,45,0.032904
12,858,46,46,12.4766
12,858,47,47,0.795241
12,858,48,48,1.09178
12,858,base,base,0.010064
13,948,1,1,0.016132
13,948,2,2,0.298061
13,948,3,3,1.04138
13,948,4,4,0.22536
13,948,5,5,0.612745
13,948,6,6,0.758101
13,948,7,7,0.036697
13,948,8,8,0.058472
13,948,9,9,0.178469
13,948,10,10,2.06266
13,948,11,11,0.548496
13,948,12,12,1.63892
13,948,13,13,0.268882
13,948,14,14,2.12728
13,948,15,15,0.969301
13,948,16,16,0.703498
13,948,17,17,0.963625
13,948,18,18,1.55552
13,948,19,19,0.232249
13,948,20,20,0.074792
13,948,21,21,0.723673
13,948,22,22,0.247241
13,948,23,23,0.108968
13,948,24,24,0.675065
13,948,25,25,0.04097
13,948,26,26,1.16904
13,948,27,27,8.73533
13,948,28,28,0.335861
13,948,29,29,0.0641
13,948,30,30,1.12604
13,948,31,31,6.63453
13,948,32,32,0.179545
13,948,33,33,0.054293
13,948,34,34,0.570256
13,948,35,35,0.933589
13,948,36,36,0.176346
13,948,37,37,0.00914
13,948,38,38,7.46161
13,948,39,39,0.316224
13,948,40,40,0.060281
13,948,41,41,1.10186
13,948,42,42,0.101258
13,948,43,43,0.06628
13,948,44,44,2.64954
13,948,45,45,0.394277
13,948,46,46,5.28364
13,948,47,47,0.095314
13,948,48,48,0.902929
14,984,1,1,0.016132
14,984,2,2,0.298061
14,984,3,3,1.04138
14,984,4,4,0.22536
14,984,5,5,0.6269
14,984,6,6,0.754192
14,984,7,7,0.036697
14,984,8,8,0.058472
14,984,9,9,0.178469
14,984,10,10,2.06266
14,984,11,11,0.548496
14,984,12,12,1.63892
14,984,13,13,0.268882
14,984,14,14,2.12728
14,984,15,15,0.969301
14,984,16,16,0.703498
14,984,17,17,0.963625
14,984,18,18,1.55552
14,984,19,19,0.204209
14,984,20,20,0.074792
14,984,21,21,0.723673
14,984,22,22,0.247241
14,984,23,23,0.108968
14,984,24,24,0.675065
14,984,25,25,0.04097
14,984,26,26,1.16904
14,984,27,27,8.73533
14,984,28,28,0.335861
14,984,29,29,0.0641
14,984,30,30,1.12604
14,984,31,31,6.63453
14,984,32,32,0.179545
14,984,33,33,0.054293
14,984,34,34,0.570256
14,984,35,35,0.933589
14,984,36,36,0.176346
14,984,37,37,0.00914
14,984,38,38,7.46161
14,984,39,39,0.316224
14,984,40,40,0.060281
14,984,41,41,1.10186
14,984,42,42,0.101258
14,984,43,43,0.06628
14,984,44,44,2.64954
14,984,45,45,0.394277
14,984,46,46,5.28364
14,984,47,47,0.095314
14,984,48,48,0.902929
15,1020,1,1,0.016132
15,1020,2,2,0.298061
15,1020,3,3,1.04138
15,1020,4,4,0.22536
15,1020,5,5,0.6269
15,1020,6,6,0.754192
15,1020,7,7,0.036697
15,1020,8,8,0.058472
15,1020,9,9,0.178469
15,1020,10,10,2.06266
15,1020,11,11,0.548496
15,1020,12,12,1.63892
15,1020,13,13,0.268882
15,1020,14,14,2.12728
15,1020,15,15,0.969301
15,1020,16,16,0.703498
15,1020,17,17,0.940666
15,1020,18,18,1.55552
15,1020,19,19,0.204209
15,1020,20,20,0.074792
15,1020,21,21,0.723673
15,1020,22,22,0.247241
15,1020,23,23,0.108968
15,1020,24,24,0.675065
15,1020,25,25,0.04097
15,1020,26,26,1.16904
15,1020,27,27,8.73533
15,1020,28,28,0.335861
15,1020,29,29,0.0641
15,1020,30,30,1.12604
15,1020,31,31,6.63453
15,1020,32,32,0.179545
15,1020,33,33,0.054293
15,1020,34,34,0.570256
15,1020,35,35,0.933589
15,1020,36,36,0.176346
15,1020,37,37,0.00914
15,1020,38,38,7.11401
15,1020,39,39,0.316224
15,1020,40,40,0.060281
15,1020,41,41,1.10186
15,1020,42,42,0.101258
15,1020,43,43,0.06628
15,1020,44,44,2.64954
15,1020,45,45,0.394277
15,1020,46,46,5.28364
15,1020,47,47,0.095314
15,1020,48,48,0.902929
16,1100,1,1,0.016132
16,1100,2,2,0.970154
16,1100,3,3,0.785909
16,1100,4,4,0.22536
16,1100,5,5,0.6269
16,1100,6,6,0.754192
16,1100,7,7,0.036697
16,1100,8,8,0.058472
16,1100,9,9,0.178469
16,1100,10,10,2.06266
16,1100,11,11,0.548496
16,1100,12,12,1.63892
16,1100,13,13,0.268882
16,1100,14,14,2.1832
16,1100,15,15,0.969301
16,1100,16,16,0.703498
16,1100,17,17,0.417301
16,1100,18,18,1.55552
16,1100,19,19,0.204209
16,1100,20,20,0.074792
16,1100,21,21,0.723673
16,1100,22,22,0.91269
16,1100,23,23,0.108968
16,1100,24,24,0.675065
16,1100,25,25,0.04097
16,1100,26,26,1.16904
16,1100,27,27,8.73533
16,1100,28,28,0.335861
16,1100,29,29,0.0641
16,1100,30,30,1.12604
16,1100,31,31,6.54363
16,1100,32,32,0.635528
16,1100,33,33,0.054293
16,1100,34,34,0.570256
16,1100,35,35,0.933589
16,1100,36,36,0.176346
16,1100,37,37,0.00914
16,1100,38,38,6.37602
16,1100,39,39,0.316224
16,1100,40,40,0.060281
16,1100,41,41,1.10186
16,1100,42,42,0.101258
16,1100,43,43,0.05389
16,1100,44,44,2.64954
16,1100,45,45,0.394277
16,1100,46,46,5.28364
16,1100,47,47,0.095314
16,1100,48,48,0.902929
17,1180,1,1,0.016132
17,1180,2,2,1.13667
17,1180,3,3,0.785909
17,1180,4,4,0.22536
17,1180,5,5,0.6269
17,1180,6,6,0.818177
17,1180,7,7,0.036697
17,1180,8,8,0.057217
17,1180,9,9,0.178469
17,1180,10,10,2.06266
17,1180,11,11,0.359901
17,1180,12,12,1.63892
17,1180,13,13,0.268882
17,1180,14,14,0.812232
17,1180,15,15,1.03472
17,1180,16,16,0.703498
17,1180,17,17,0.417301
17,1180,18,18,1.55552
17,1180,19,19,0.204209
17,1180,20,20,0.087725
17,1180,21,21,0.591329
17,1180,22,22,0.938282
17,1180,23,23,0.073665
17,1180,24,24,0.675065
17,1180,25,25,0.016141
17,1180,26,26,1.34353
17,1180,27,27,8.73533
17,1180,28,28,0.401444
17,1180,29,29,0.12301
17,1180,30,30,1.20548
17,1180,31,31,5.2978
17,1180,32,32,0.635528
17,1180,33,33,0.054293
17,1180,34,34,0.570256
17,1180,35,35,0.933589
17,1180,36,36,0.177073
17,1180,37,37,0.00914
17,1180,38,38,4.70961
17,1180,39,39,0.316224
17,1180,40,40,0.060281
17,1180,41,41,1.10186
17,1180,42,42,0.046034
17,1180,43,43,0.05389
17,1180,44,44,2.64954
17,1180,45,45,0.394277
17,1180,46,46,5.28364
17,1180,47,47,0.095314
17,1180,48,48,0.902929
18,1216,1,1,0.016132
18,1216,2,2,1.13667
18,1216,3,3,0.785909
18,1216,4,4,0.22536
18,1216,5,5,0.6269
18,1216,6,6,0.818177
18,1216,7,7,0.036697
18,1216,8,8,0.057217
18,1216,9,9,0.178469
18,1216,10,10,2.06266
18,1216,11,11,0.359901
18,1216,12,12,1.63892
18,1216,13,13,0.268882
18,1216,14,14,0.812232
18,1216,15,15,0.852197
18,1216,16,16,0.703498
18,1216,17,17,0.417301
18,1216,18,18,1.55552
18,1216,19,19,0.204209
18,1216,20,20,0.087725
18,1216,21,21,0.591329
18,1216,22,22,0.938282
18,1216,23,23,0.073665
18,1216,24,24,0.675065
18,1216,25,25,0.016141
18,1216,26,26,0.563396
18,1216,27,27,8.73533
18,1216,28,28,0.401444
18,1216,29,29,0.12301
18,1216,30,30,1.20548
18,1216,31,31,5.2978
18,1216,32,32,0.635528
18,1216,33,33,0.054293
18,1216,34,34,0.570256
18,1216,35,35,0.933589
18,1216,36,36,0.177073
18,1216,37,37,0.00914
18,1216,38,38,4.70961
18,1216,39,39,0.316224
18,1216,40,40,0.060281
18,1216,41,41,1.10186
18,1216,42,42,0.046034
18,1216,43,43,0.05389
18,1216,44,44,2.64954
18,1216,45,45,0.394277
18,1216,46,46,5.28364
18,1216,47,47,0.095314
18,1216,48,48,0.902929
19,1296,1,1,0.016132
19,1296,2,2,1.21675
19,1296,3,3,0.785909
19,1296,4,4,0.22536
19,1296,5,5,0.6269
19,1296,6,6,0.47617
19,1296,7,7,0.036697
19,1296,8,8,0.08936
19,1296,9,9,0.178469
19,1296,10,10,2.06266
19,1296,11,11,0.2089
19,1296,12,12,1.63892
19,1296,13,13,0.268882
19,1296,14,14,0.812232
19,1296,15,15,0.855268
19,1296,16,16,0.703498
19,1296,17,17,0.417301
19,1296,18,18,1.55552
19,1296,19,19,0.204209
19,1296,20,20,0.12218
19,1296,21,21,0.551345
19,1296,22,22,1.05646
19,1296,23,23,0.07696
19,1296,24,24,0.675065
19,1296,25,25,0.016141
19,1296,26,26,0.563396
19,1296,27,27,8.73533
19,1296,28,28,0.226946
19,1296,29,29,0.12301
19,1296,30,30,1.24381
19,1296,31,31,5.2978
19,1296,32,32,0.635528
19,1296,33,33,0.054293
19,1296,34,34,0.570256
19,1296,35,35,0.933589
19,1296,36,36,0.171865
19,1296,37,37,0.00914
19,1296,38,38,4.70961
19,1296,39,39,0.316224
19,1296,40,40,0.060281
19,1296,41,41,1.10186
19,1296,42,42,0.046034
19,1296,43,43,0.05389
19,1296,44,44,2.64954
19,1296,45,45,0.394277
19,1296,46,46,5.28364
19,1296,47,47,0.095314
19,1296,48,48,1.29191
20,1332,1,1,0.016132
20,1332,2,2,1.21675
20,1332,3,3,0.785909
20,1332,4,4,0.22536
20,1332,5,5,0.6269
20,1332,6,6,0.47617
20,1332,7,7,0.036697
20,1332,8,8,0.08936
20,1332,9,9,0.178469
20,1332,10,10,2.06266
20,1332,11,11,0.2089
20,1332,12,12,1.63892
20,1332,13,13,0.268882
20,1332,14,14,0.812232
20,1332,15,15,0.855268
20,1332,16,16,0.703498
20,1332,17,17,0.417301
20,1332,18,18,1.55552
20,1332,19,19,0.204209
20,1332,20,20,0.12218
20,1332,21,21,0.551345
20,1332,22,22,1.05646
20,1332,23,23,0.07696
20,1332,24,24,0.675065
20,1332,25,25,0.016141
20,1332,26,26,0.563396
20,1332,27,27,8.73533
20,1332,28,28,0.223184
20,1332,29,29,0.12301
20,1332,30,30,1.24381
20,1332,31,31,5.2978
20,1332,32,32,0.635528
20,1332,33,33,0.054293
20,1332,34,34,0.570256
20,1332,35,35,0.933589
20,1332,36,36,0.171865
20,1332,37,37,0.00914
20,1332,38,38,4.70961
20,1332,39,39,0.316224
20,1332,40,40,0.060281
20,1332,41,41,1.10186
20,1332,42,42,0.046034
20,1332,43,43,0.05389
20,1332,44,44,2.64954
20,1332,45,45,0.394277
20,1332,46,46,5.28364
20,1332,47,47,0.095314
20,1332,48,48,1.29191
21,1412,1,1,0.014701
21,1412,2,2,1.22165
21,1412,3,3,0.798289
21,1412,4,4,0.231877
21,1412,5,5,0.633338
21,1412,6,6,0.471869
21,1412,7,7,0.034885
21,1412,8,8,0.09028
21,1412,9,9,0.182117
21,1412,10,10,2.05586
21,1412,11,11,0.205621
21,1412,12,12,1.6994
21,1412,13,13,0.260402
21,1412,14,14,0.838018
21,1412,15,15,0.852658
21,1412,16,16,0.710674
21,1412,17,17,0.437365
21,1412,18,18,1.54864
21,1412,19,19,0.192593
21,1412,20,20,0.121829
21,1412,21,21,0.545641
21,1412,22,22,1.05812
21,1412,24,24,0.656617
21,1412,25,25,0.016141
21,1412,26,26,0.600548
21,1412,27,27,9.17504
21,1412,28,28,0.221282
21,1412,29,29,0.121426
21,1412,30,30,1.24381
21,1412,31,31,5.38609
21,1412,32,32,0.629172
21,1412,33,33,0.055226
21,1412,34,34,0.576221
21,1412,35,35,0.941981
21,1412,36,36,0.170873
21,1412,37,37,0.010177
21,1412,38,38,4.76818
21,1412,39,39,0.313972
21,1412,40,40,0.063172
21,1412,41,41,1.10937
21,1412,42,42,0.04626
21,1412,43,43,0.054925
21,1412,44,44,2.67987
21,1412,46,46,5.3965
21,1412,47,47,0.099725
21,1412,48,48,1.25402
22,1490,1,1,0.060916
22,1490,2,2,1.5401
