Name,x,y,z,mean_kh,logsdkh,kvmul,porosity,sd_kvmul,sd_porosity,major,transverse,avert,bearing,dip,rake,type_index,type,layer,ahmax_e,ahmax_n,hmax_e,hmax_n
292_17,1680464.532,5405125.322,17.00000002,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,135,0,0,292,confined,5,636.3961031,-636.3961031,0.707106781,-0.707106781
292_20,1680464.532,5405125.322,26.00000003,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,135,0,0,292,confined,6,636.3961031,-636.3961031,0.707106781,-0.707106781
194_0,1682141.885,5408148.837,0.5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,145,0,0,194,swamp_in_beach,1,1720.729309,-2457.456133,0.573576436,-0.819152044
194_7,1682141.885,5408148.837,2,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,145,0,0,194,swamp_in_beach,2,1720.729309,-2457.456133,0.573576436,-0.819152044
194_14,1682141.885,5408148.837,5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,145,0,0,194,swamp_in_beach,3,1720.729309,-2457.456133,0.573576436,-0.819152044
194_26,1682141.885,5408148.837,10.00000001,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,145,0,0,194,swamp_in_beach,4,1720.729309,-2457.456133,0.573576436,-0.819152044
194_30,1682141.885,5408148.837,17.00000001,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,145,0,0,194,swamp_in_beach,5,1720.729309,-2457.456133,0.573576436,-0.819152044
194_34,1682141.885,5408148.837,26.00000001,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,145,0,0,194,swamp_in_beach,6,1720.729309,-2457.456133,0.573576436,-0.819152044
292_1,1682473.963,5405936.572,0.5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,130,0,0,292,confined,1,689.4399988,-578.5088487,0.766044443,-0.64278761
292_5,1682473.963,5405936.572,2,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,130,0,0,292,confined,2,689.4399988,-578.5088487,0.766044443,-0.64278761
292_9,1682473.963,5405936.572,5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,130,0,0,292,confined,3,689.4399988,-578.5088487,0.766044443,-0.64278761
292_14,1682473.963,5405936.572,10,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,130,0,0,292,confined,4,689.4399988,-578.5088487,0.766044443,-0.64278761
292_16,1682473.963,5405936.572,17,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,130,0,0,292,confined,5,689.4399988,-578.5088487,0.766044443,-0.64278761
292_19,1682473.963,5405936.572,26,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,130,0,0,292,confined,6,689.4399988,-578.5088487,0.766044443,-0.64278761
194_1,1682730.926,5412470.113,0.5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,180,0,0,194,swamp_in_beach,1,3.67E-13,-3000,1.22E-16,-1
194_9,1682730.926,5412470.113,2,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,180,0,0,194,swamp_in_beach,2,3.67E-13,-3000,1.22E-16,-1
194_15,1682730.926,5412470.113,5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,180,0,0,194,swamp_in_beach,3,3.67E-13,-3000,1.22E-16,-1
194_21,1682730.926,5412470.113,9.99999999,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,180,0,0,194,swamp_in_beach,4,3.67E-13,-3000,1.22E-16,-1
292_2,1682923.262,5402190.712,0.5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,50,0,0,292,confined,1,689.4399988,578.5088487,0.766044443,0.64278761
292_6,1682923.262,5402190.712,2,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,50,0,0,292,confined,2,689.4399988,578.5088487,0.766044443,0.64278761
292_10,1682923.262,5402190.712,5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,50,0,0,292,confined,3,689.4399988,578.5088487,0.766044443,0.64278761
194_2,1684273.068,5410294.051,0.5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,169,0,0,194,swamp_in_beach,1,572.4269861,-2944.88155,0.190808995,-0.981627183
194_10,1684273.068,5410294.051,2,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,169,0,0,194,swamp_in_beach,2,572.4269861,-2944.88155,0.190808995,-0.981627183
194_16,1684273.068,5410294.051,5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,169,0,0,194,swamp_in_beach,3,572.4269861,-2944.88155,0.190808995,-0.981627183
194_22,1684273.068,5410294.051,9.999999995,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,169,0,0,194,swamp_in_beach,4,572.4269861,-2944.88155,0.190808995,-0.981627183
194_28,1684273.068,5410294.051,16.99999999,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,169,0,0,194,swamp_in_beach,5,572.4269861,-2944.88155,0.190808995,-0.981627183
194_32,1684273.068,5410294.051,25.99999999,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,169,0,0,194,swamp_in_beach,6,572.4269861,-2944.88155,0.190808995,-0.981627183
194_3,1684409.377,5406785.643,0.5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,120,0,0,194,swamp_in_beach,1,2598.076211,-1500,0.866025404,-0.5
194_8,1684409.377,5406785.643,2,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,120,0,0,194,swamp_in_beach,2,2598.076211,-1500,0.866025404,-0.5
194_17,1684409.377,5406785.643,5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,120,0,0,194,swamp_in_beach,3,2598.076211,-1500,0.866025404,-0.5
194_23,1684409.377,5406785.643,9.999999995,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,120,0,0,194,swamp_in_beach,4,2598.076211,-1500,0.866025404,-0.5
194_27,1684409.377,5406785.643,16.99999999,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,120,0,0,194,swamp_in_beach,5,2598.076211,-1500,0.866025404,-0.5
194_31,1684409.377,5406785.643,25.99999999,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,120,0,0,194,swamp_in_beach,6,2598.076211,-1500,0.866025404,-0.5
292_3,1684939.27,5404843.704,0.5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,115,0,0,292,confined,1,815.6770083,-380.3564356,0.906307787,-0.422618262
292_7,1684939.27,5404843.704,2,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,115,0,0,292,confined,2,815.6770083,-380.3564356,0.906307787,-0.422618262
292_11,1684939.27,5404843.704,5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,115,0,0,292,confined,3,815.6770083,-380.3564356,0.906307787,-0.422618262
292_12,1684939.27,5404843.704,9.99999998,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,115,0,0,292,confined,4,815.6770083,-380.3564356,0.906307787,-0.422618262
292_15,1684939.27,5404843.704,16.99999996,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,115,0,0,292,confined,5,815.6770083,-380.3564356,0.906307787,-0.422618262
292_18,1684939.27,5404843.704,25.99999996,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,115,0,0,292,confined,6,815.6770083,-380.3564356,0.906307787,-0.422618262
194_4,1685170.795,5413966.568,0.5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,185,0,0,194,swamp_in_beach,1,-261.4672282,-2988.584094,-0.087155743,-0.996194698
194_11,1685170.795,5413966.568,2,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,185,0,0,194,swamp_in_beach,2,-261.4672282,-2988.584094,-0.087155743,-0.996194698
194_18,1685170.795,5413966.568,5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,185,0,0,194,swamp_in_beach,3,-261.4672282,-2988.584094,-0.087155743,-0.996194698
195_0,1685657.163,5401028.485,0.5,0.1,0.1,0.09,0.1,0.2,0.5,900,900,3,60,0,0,195,estuarine,1,779.4228634,450,0.866025404,0.5
195_3,1685657.163,5401028.485,2,0.1,0.1,0.09,0.1,0.2,0.5,900,900,3,60,0,0,195,estuarine,2,779.4228634,450,0.866025404,0.5
195_6,1685657.163,5401028.485,5,0.1,0.1,0.09,0.1,0.2,0.5,900,900,3,60,0,0,195,estuarine,3,779.4228634,450,0.866025404,0.5
195_9,1685657.163,5401028.485,9.999999975,0.1,0.1,0.09,0.1,0.2,0.5,900,900,3,60,0,0,195,estuarine,4,779.4228634,450,0.866025404,0.5
193_0,1685782.329,5407974.43,0.5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,165,0,0,193,swamp_beach,1,776.4571353,-2897.777479,0.258819045,-0.965925826
193_1,1685782.329,5407974.43,2,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,165,0,0,193,swamp_beach,2,776.4571353,-2897.777479,0.258819045,-0.965925826
193_2,1685782.329,5407974.43,5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,165,0,0,193,swamp_beach,3,776.4571353,-2897.777479,0.258819045,-0.965925826
193_3,1685782.329,5407974.43,10.00000001,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,165,0,0,193,swamp_beach,4,776.4571353,-2897.777479,0.258819045,-0.965925826
193_4,1685782.329,5407974.43,17.00000002,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,165,0,0,193,swamp_beach,5,776.4571353,-2897.777479,0.258819045,-0.965925826
193_5,1685782.329,5407974.43,26.00000002,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,165,0,0,193,swamp_beach,6,776.4571353,-2897.777479,0.258819045,-0.965925826
194_5,1686991.348,5416335.115,0.5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,201,0,0,194,swamp_in_beach,1,-1075.103849,-2800.741279,-0.35836795,-0.933580426
194_12,1686991.348,5416335.115,2,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,201,0,0,194,swamp_in_beach,2,-1075.103849,-2800.741279,-0.35836795,-0.933580426
194_19,1686991.348,5416335.115,5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,201,0,0,194,swamp_in_beach,3,-1075.103849,-2800.741279,-0.35836795,-0.933580426
194_24,1686991.348,5416335.115,10,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,201,0,0,194,swamp_in_beach,4,-1075.103849,-2800.741279,-0.35836795,-0.933580426
195_1,1687245.922,5401585.3,0.5,0.1,0.1,0.09,0.1,0.2,0.5,900,900,3,80,0,0,195,estuarine,1,886.3269777,156.2833599,0.984807753,0.173648178
195_4,1687245.922,5401585.3,2,0.1,0.1,0.09,0.1,0.2,0.5,900,900,3,80,0,0,195,estuarine,2,886.3269777,156.2833599,0.984807753,0.173648178
195_7,1687245.922,5401585.3,5,0.1,0.1,0.09,0.1,0.2,0.5,900,900,3,80,0,0,195,estuarine,3,886.3269777,156.2833599,0.984807753,0.173648178
195_2,1687719.141,5399910.778,0.5,0.1,0.1,0.09,0.1,0.2,0.5,900,900,3,60,0,0,195,estuarine,1,779.4228634,450,0.866025404,0.5
195_5,1687719.141,5399910.778,2,0.1,0.1,0.09,0.1,0.2,0.5,900,900,3,60,0,0,195,estuarine,2,779.4228634,450,0.866025404,0.5
195_8,1687719.141,5399910.778,5,0.1,0.1,0.09,0.1,0.2,0.5,900,900,3,60,0,0,195,estuarine,3,779.4228634,450,0.866025404,0.5
194_6,1687761.305,5405362.573,0.5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,125,0,0,194,swamp_in_beach,1,2457.456133,-1720.729309,0.819152044,-0.573576436
194_13,1687761.305,5405362.573,2,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,125,0,0,194,swamp_in_beach,2,2457.456133,-1720.729309,0.819152044,-0.573576436
194_20,1687761.305,5405362.573,5,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,125,0,0,194,swamp_in_beach,3,2457.456133,-1720.729309,0.819152044,-0.573576436
194_25,1687761.305,5405362.573,10,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,125,0,0,194,swamp_in_beach,4,2457.456133,-1720.729309,0.819152044,-0.573576436
194_29,1687761.305,5405362.573,17,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,125,0,0,194,swamp_in_beach,5,2457.456133,-1720.729309,0.819152044,-0.573576436
194_33,1687761.305,5405362.573,26,0.1,0.1,0.09,0.1,0.2,0.5,3000,900,3,125,0,0,194,swamp_in_beach,6,2457.456133,-1720.729309,0.819152044,-0.573576436
198_0,1677989.591,5413437.79,0.5,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,1,900,5.51E-14,1,6.12E-17
198_2,1677989.591,5413437.79,2,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,2,900,5.51E-14,1,6.12E-17
198_4,1677989.591,5413437.79,5,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,3,900,5.51E-14,1,6.12E-17
198_6,1677989.591,5413437.79,10,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,4,900,5.51E-14,1,6.12E-17
198_9,1677989.591,5413437.79,17,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,5,900,5.51E-14,1,6.12E-17
198_12,1677989.591,5413437.79,26,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,6,900,5.51E-14,1,6.12E-17
198_15,1677989.591,5413437.79,36,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,7,900,5.51E-14,1,6.12E-17
198_17,1677989.591,5413437.79,51,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,8,900,5.51E-14,1,6.12E-17
198_19,1677989.591,5413437.79,71,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,9,900,5.51E-14,1,6.12E-17
198_21,1677989.591,5413437.79,91,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,10,900,5.51E-14,1,6.12E-17
198_23,1677989.591,5413437.79,117.5,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,11,900,5.51E-14,1,6.12E-17
198_25,1677989.591,5413437.79,150.5,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,12,900,5.51E-14,1,6.12E-17
198_27,1677989.591,5413437.79,183.5,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,13,900,5.51E-14,1,6.12E-17
198_8,1679938.859,5413977.32,17,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,150,0,0,198,north_sandstone,5,450,-779.4228634,0.5,-0.866025404
198_11,1679938.859,5413977.32,25.99999999,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,150,0,0,198,north_sandstone,6,450,-779.4228634,0.5,-0.866025404
198_14,1679938.859,5413977.32,35.99999999,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,150,0,0,198,north_sandstone,7,450,-779.4228634,0.5,-0.866025404
198_16,1679938.859,5413977.32,50.99999999,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,150,0,0,198,north_sandstone,8,450,-779.4228634,0.5,-0.866025404
198_18,1679938.859,5413977.32,70.99999999,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,150,0,0,198,north_sandstone,9,450,-779.4228634,0.5,-0.866025404
198_20,1679938.859,5413977.32,90.99999999,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,150,0,0,198,north_sandstone,10,450,-779.4228634,0.5,-0.866025404
198_22,1679938.859,5413977.32,117.4999999,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,150,0,0,198,north_sandstone,11,450,-779.4228634,0.5,-0.866025404
198_24,1679938.859,5413977.32,150.4999998,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,150,0,0,198,north_sandstone,12,450,-779.4228634,0.5,-0.866025404
198_26,1679938.859,5413977.32,183.4999998,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,150,0,0,198,north_sandstone,13,450,-779.4228634,0.5,-0.866025404
198_1,1681409.466,5414023.385,0.5,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,1,900,5.51E-14,1,6.12E-17
198_3,1681409.466,5414023.385,2,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,2,900,5.51E-14,1,6.12E-17
198_5,1681409.466,5414023.385,5,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,3,900,5.51E-14,1,6.12E-17
198_7,1681409.466,5414023.385,10,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,4,900,5.51E-14,1,6.12E-17
198_10,1681409.466,5414023.385,17,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,5,900,5.51E-14,1,6.12E-17
198_13,1681409.466,5414023.385,26,1,0.5,0.9,0.0001,0.1,0.5,900,900,3,90,0,0,198,north_sandstone,6,900,5.51E-14,1,6.12E-17
200_6,1661039.791,5404574.997,17,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,5,2988.584094,261.4672282,0.996194698,0.087155743
200_27,1661039.791,5404574.997,26,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,6,2988.584094,261.4672282,0.996194698,0.087155743
200_48,1661039.791,5404574.997,36,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,7,2988.584094,261.4672282,0.996194698,0.087155743
200_70,1661039.791,5404574.997,51,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,8,2988.584094,261.4672282,0.996194698,0.087155743
200_96,1661039.791,5404574.997,71,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,9,2988.584094,261.4672282,0.996194698,0.087155743
200_122,1661039.791,5404574.997,91,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,10,2988.584094,261.4672282,0.996194698,0.087155743
200_153,1661039.791,5404574.997,117.5,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,11,2988.584094,261.4672282,0.996194698,0.087155743
200_180,1661039.791,5404574.997,150.5,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,12,2988.584094,261.4672282,0.996194698,0.087155743
200_204,1661039.791,5404574.997,183.4999999,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,13,2988.584094,261.4672282,0.996194698,0.087155743
200_7,1663026.874,5405873.428,17,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,5,2988.584094,261.4672282,0.996194698,0.087155743
200_28,1663026.874,5405873.428,26,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,6,2988.584094,261.4672282,0.996194698,0.087155743
200_49,1663026.874,5405873.428,36,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,7,2988.584094,261.4672282,0.996194698,0.087155743
200_71,1663026.874,5405873.428,51,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,8,2988.584094,261.4672282,0.996194698,0.087155743
200_97,1663026.874,5405873.428,71,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,9,2988.584094,261.4672282,0.996194698,0.087155743
200_123,1663026.874,5405873.428,91,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,10,2988.584094,261.4672282,0.996194698,0.087155743
200_154,1663026.874,5405873.428,117.5,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,11,2988.584094,261.4672282,0.996194698,0.087155743
200_192,1663026.874,5405873.428,150.5000003,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,12,2988.584094,261.4672282,0.996194698,0.087155743
200_219,1663026.874,5405873.428,183.5000005,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,13,2988.584094,261.4672282,0.996194698,0.087155743
200_8,1664387.066,5405098.118,17,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,5,2988.584094,261.4672282,0.996194698,0.087155743
200_29,1664387.066,5405098.118,26,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,6,2988.584094,261.4672282,0.996194698,0.087155743
200_50,1664387.066,5405098.118,36,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,7,2988.584094,261.4672282,0.996194698,0.087155743
200_72,1664387.066,5405098.118,51,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,8,2988.584094,261.4672282,0.996194698,0.087155743
200_98,1664387.066,5405098.118,71,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,9,2988.584094,261.4672282,0.996194698,0.087155743
200_124,1664387.066,5405098.118,91,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,10,2988.584094,261.4672282,0.996194698,0.087155743
200_155,1664387.066,5405098.118,117.5,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,11,2988.584094,261.4672282,0.996194698,0.087155743
200_181,1664387.066,5405098.118,150.5,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,12,2988.584094,261.4672282,0.996194698,0.087155743
200_209,1664387.066,5405098.118,183.5,10,1,0.9,0.001,0.3,0.5,3000,900,3,85,0,0,200,wairau_gravels,13,2988.584094,261.4672282,0.996194698,0.087155743
200_9,1667111.034,5406773.343,17,10,1,0.9,0.001,0.3,0.5,3000,900,3,112,0,0,200,wairau_gravels,5,2781.551564,-1123.81978,0.927183855,-0.374606593
200_30,1667111.034,5406773.343,26,10,1,0.9,0.001,0.3,0.5,3000,900,3,112,0,0,200,wairau_gravels,6,2781.551564,-1123.81978,0.927183855,-0.374606593
200_51,1667111.034,5406773.343,36,10,1,0.9,0.001,0.3,0.5,3000,900,3,112,0,0,200,wairau_gravels,7,2781.551564,-1123.81978,0.927183855,-0.374606593
200_73,1667111.034,5406773.343,51,10,1,0.9,0.001,0.3,0.5,3000,900,3,112,0,0,200,wairau_gravels,8,2781.551564,-1123.81978,0.927183855,-0.374606593
