iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,base
10,700,3.40647,2.82101,0.0591379,10.5517,6.07269,4.01161,1.2616,3.43574,2.93204,0.69573,8.44497,4.26826,9.20849,4.3431,1.02733,0.457944,4.78057,1.53412,3.42736,8.88197,0.444778,2.6867,0.0742889,1.60867,7.7397,2.17015,4.93128,3.06073,5.24638,1.48186,6.61371,8.65237,7.6509,1.39238,2.99403,2.4915,0.401556,4.27678,2.98041,1.2578,3.14424,4.24792,1.27595,3.00688,5.06654,1.3578,1.55224,0.181545,0.0832477,0.0591379,10.5517,6.57668,0.191749,0.088434
11,745,3.30513,2.83617,0.0591379,10.5517,6.07269,4.01161,1.2616,3.43574,2.93204,0.69573,8.44497,2.26438,9.20849,4.3431,1.02733,0.457944,4.78057,1.53412,3.42736,8.88197,0.444778,2.6867,0.0742889,1.60867,7.7397,2.17015,4.93128,3.06073,4.38148,1.48186,6.61371,8.65237,7.6509,1.39238,2.99403,2.4915,0.401556,4.27678,2.98041,1.2578,3.14424,4.24792,1.27595,0.808703,5.06654,1.3578,1.55224,0.181545,0.0832477,0.0591379,10.5517,6.57668,0.191749,0.088434
12,835,3.268,2.82515,0.0748545,10.6624,,4.23505,1.35822,3.44718,2.00467,0.425612,7.09161,2.93397,9.9564,2.91402,0.248405,1.41385,5.04935,1.73888,4.37041,8.27913,0.248456,3.22548,0.119777,1.35091,4.30292,3.62122,4.38415,2.98059,4.48557,1.22481,7.48862,10.6624,7.28597,1.48568,2.54747,2.94881,0.362278,3.48138,3.16445,1.11609,5.28587,1.8004,1.32051,1.40045,4.191,1.25733,2.18673,0.141283,0.0984324,0.0748545,10.4502,6.4513,0.251656,
13,915,2.85711,2.31786,0.00511731,9.09311,,4.14658,,3.24133,1.86206,0.362126,1.71098,6.43886,6.44928,1.62734,0.379158,0.980997,4.30843,2.11587,0.665684,7.9907,0.242502,3.06538,0.00511731,2.36715,2.40941,3.06897,3.35407,2.58295,7.03786,1.60738,6.39924,9.09311,3.56047,1.42175,2.15009,2.75495,0.0422051,3.25376,4.00338,1.28591,5.18894,1.18219,0.856895,6.2879,4.0397,1.32904,1.79101,,0.0725082,0.397486,2.21764,5.89576,0.182996,
14,993,2.7497,2.21614,0.00511731,9.09311,,4.15114,,3.24024,1.86206,0.362126,1.71098,5.31524,6.44928,1.62734,0.379158,0.798276,4.46951,2.15661,0.665684,7.9907,0.242502,3.06538,0.00511731,2.36715,2.41235,3.09199,3.35766,2.58946,5.39156,1.60738,6.39924,9.09311,3.20178,1.40967,2.15009,2.75495,0.0409687,3.25376,4.00338,1.14753,5.18894,1.18219,0.404381,5.33361,4.0397,1.28543,1.77836,,0.0725082,0.278271,2.21764,5.75859,0.182996,
15,1071,2.70573,2.18435,0.00511731,9.09311,,4.22734,,3.23426,1.86206,0.362126,1.71098,4.2745,6.44928,1.62734,0.379158,0.801659,4.56604,2.12715,0.665684,7.9907,0.242502,3.06538,0.00511731,2.36715,2.43796,3.1147,3.38288,2.5985,5.39156,1.60738,6.39924,9.09311,3.14225,1.41031,2.15009,2.75495,0.040578,3.25376,4.00338,1.02407,5.18894,1.18219,0.404381,4.43054,4.0397,1.23501,1.77741,,0.0725082,0.193498,2.21764,5.79841,0.1603,
16,1107,2.70408,2.18439,0.00511731,9.09311,,4.22734,,3.23255,1.86206,0.362126,1.71098,4.2745,6.44928,1.62734,0.379158,0.801659,4.56604,2.12715,0.665684,7.9907,0.242502,3.05427,0.00511731,2.36715,2.43796,3.1147,3.38288,2.53552,5.39156,1.60738,6.39924,9.09311,3.14225,1.41031,2.15009,2.75495,0.040578,3.25376,4.00338,1.02407,5.18894,1.18219,0.404381,4.43054,4.0397,1.23501,1.77741,,0.0725082,0.193498,2.21764,5.79841,0.1603,
17,1143,2.7068,2.1858,0.00511731,9.09311,,4.22734,,3.23255,1.93415,0.362126,1.71098,4.2745,6.44928,1.62734,0.379158,0.801659,4.56604,2.12715,0.665684,7.9907,0.242502,3.05427,0.00511731,2.36715,2.43796,3.1147,3.38288,2.53552,5.39156,1.60738,6.45196,9.09311,3.14225,1.41031,2.15009,2.75495,0.040578,3.25376,4.00338,1.02407,5.18894,1.18219,0.404381,4.43054,4.0397,1.23501,1.77741,,0.0725082,0.193498,2.21764,5.79841,0.1603,
18,1179,2.71,2.19501,0.00511731,9.20432,,4.22734,,3.23255,1.93415,0.362126,1.71098,4.2745,6.44928,1.62734,0.379158,0.801659,4.56604,2.12715,0.665684,8.02692,0.242502,3.05427,0.00511731,2.36715,2.43796,3.1147,3.38288,2.53552,5.39156,1.60738,6.45196,9.20432,3.14225,1.41031,2.15009,2.75495,0.040578,3.25376,4.00338,1.02407,5.18894,1.18219,0.404381,4.43054,4.0397,1.23501,1.77741,,0.0725082,0.193498,2.21764,5.79841,0.1603,
19,1257,2.70287,2.24606,0.00523713,9.21724,,4.22734,,3.23255,1.93415,0.362983,1.71684,4.27848,6.45489,1.63452,0.379397,0.801659,4.56195,2.12715,0.66917,8.03238,0.242715,,0.00523713,2.36734,2.43796,3.1147,3.38288,2.53552,5.39156,1.60738,6.45196,9.21724,3.14225,1.41031,2.15204,,0.040578,3.25247,4.00755,1.02407,5.19508,1.19128,0.404381,4.43438,4.04079,1.23501,1.77741,,0.0725082,0.193498,2.22593,5.79841,0.1603,
20,1333,2.68929,2.28704,0.00511731,9.2129,,4.22734,,3.23255,,0.362983,1.71451,4.27848,6.45489,1.63811,0.379397,0.800588,4.56071,2.12942,0.66917,8.03238,0.242715,,0.00511731,2.36734,2.44093,3.11526,3.38288,2.53552,5.39156,1.60991,6.45196,9.2129,3.1387,1.41031,2.15204,,0.040578,3.25584,4.00755,1.02407,5.19508,1.19128,0.404381,4.43438,,1.23501,1.77741,,0.0725082,0.193498,2.22507,5.79567,0.1603,
21,1407,2.7953,2.2858,0.00488969,9.19149,,4.22541,,3.22989,,0.362996,1.71331,4.27834,6.45489,1.64171,0.379577,0.798457,4.55006,2.12848,0.667296,8.03934,0.243892,,0.00488969,2.37061,2.44693,3.1065,3.38288,2.52212,5.39452,1.60984,6.44325,9.19149,3.13523,1.41029,2.15204,,,3.25793,4.01172,,5.18281,1.20041,0.403444,4.43995,,1.23591,1.77553,,0.0706494,0.194571,2.2185,5.77833,0.15807,
22,1443,2.79484,2.28558,0.00488969,9.19149,,4.22541,,3.22989,,0.362996,1.71331,4.27834,6.43302,1.64171,0.379577,0.780996,4.55006,2.12848,0.667296,8.03934,0.243892,,0.00488969,2.37061,2.44693,3.1065,3.38288,2.52212,5.39452,1.60984,6.44325,9.19149,3.13523,1.41029,2.15204,,,3.25793,4.03262,,5.18281,1.20041,0.403444,4.43995,,1.23591,1.77553,,0.0706494,0.194571,2.2185,5.77833,0.15807,
23,1515,2.85553,2.29809,0.0702472,9.18717,,4.22415,,3.22989,,0.362153,1.71331,4.28233,6.43246,1.64892,0.379772,0.780005,4.53943,2.13121,0.665427,8.03934,0.245074,,,2.37695,2.44894,3.10068,3.38044,2.51321,5.39749,1.60984,6.43822,9.18717,3.13185,1.41029,2.15399,,,,4.03681,,5.18281,1.20651,0.402524,4.44553,,1.23786,1.7746,,0.0702472,0.194571,2.21479,5.76496,0.156322,
24,1585,2.89044,2.30553,0.0699018,9.18717,,4.22415,,3.22989,,0.363014,1.71098,,6.43246,1.64892,0.379772,0.779018,4.53943,2.12939,0.665427,8.03934,0.245074,,,2.37715,2.44797,3.09721,3.38044,2.51321,5.39604,1.60984,6.43822,9.18717,3.13185,1.41028,2.15399,,,,4.03681,,5.18072,1.20651,0.401429,4.44553,,1.23681,1.7746,,0.0699018,0.194571,2.21394,5.76496,,
