iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
14,3,0.421875,2.85711,2.31786,1,0.0421875,2.33406,1.40048
14,3,0.421875,2.85711,2.31786,1.1,0.0421875,2.41944,1.42193
14,3,0.421875,2.85711,2.31786,0.75,0.421875,2.04396,1.29604
14,3,0.421875,2.85711,2.31786,1,0.421875,2.22879,1.35123
14,3,0.421875,2.85711,2.31786,1.1,0.421875,2.30396,1.3698
14,3,0.421875,2.85711,2.31786,0.75,4.21875,1.7324,1.16064
14,3,0.421875,2.85711,2.31786,1,4.21875,1.80445,1.19335
15,3,3.16406,2.7497,2.21614,0.75,0.316406,2.42653,2.3533
15,3,3.16406,2.7497,2.21614,1,0.316406,2.39897,2.23625
15,3,3.16406,2.7497,2.21614,1.1,0.316406,2.38655,2.18651
15,3,3.16406,2.7497,2.21614,0.75,3.16406,2.47224,2.53848
15,3,3.16406,2.7497,2.21614,1,3.16406,2.46237,2.48887
15,3,3.16406,2.7497,2.21614,1.1,3.16406,2.45911,2.46936
15,3,3.16406,2.7497,2.21614,0.75,31.6406,2.49368,2.65939
15,3,3.16406,2.7497,2.21614,1,31.6406,2.49235,2.6523
16,3,0.237305,2.70573,2.18435,0.75,0.0237305,2.94584,0.364944
16,3,0.237305,2.70573,2.18435,1,0.0237305,2.95715,0.388971
16,3,0.237305,2.70573,2.18435,1.1,0.0237305,2.96357,0.400536
16,3,0.237305,2.70573,2.18435,0.75,0.237305,2.94098,0.364804
16,3,0.237305,2.70573,2.18435,1,0.237305,2.94537,0.383346
16,3,0.237305,2.70573,2.18435,1.1,0.237305,2.9493,0.392745
16,3,0.237305,2.70573,2.18435,0.75,2.37305,2.94654,0.352118
16,3,0.237305,2.70573,2.18435,1,2.37305,2.94078,0.36211
17,3,1.77979,2.70408,2.18439,0.75,0.177979,9.513,8.52121
17,3,1.77979,2.70408,2.18439,1,0.177979,9.70328,8.41789
17,3,1.77979,2.70408,2.18439,1.1,0.177979,9.78661,8.3734
17,3,1.77979,2.70408,2.18439,0.75,1.77979,7.88108,6.31445
17,3,1.77979,2.70408,2.18439,1,1.77979,8.93004,7.83657
17,3,1.77979,2.70408,2.18439,1.1,1.77979,9.41826,8.56376
17,3,1.77979,2.70408,2.18439,0.75,17.7979,6.08324,3.97757
17,3,1.77979,2.70408,2.18439,1,17.7979,6.18937,4.09873
18,3,13.3484,2.7068,2.1858,0.75,1.33484,9.22521,6.72356
18,3,13.3484,2.7068,2.1858,1,1.33484,10.3554,8.27146
18,3,13.3484,2.7068,2.1858,1.1,1.33484,10.4014,8.27189
18,3,13.3484,2.7068,2.1858,0.75,13.3484,6.95541,4.01289
18,3,13.3484,2.7068,2.1858,1,13.3484,7.11618,4.17696
18,3,13.3484,2.7068,2.1858,1.1,13.3484,7.18211,4.24668
18,3,13.3484,2.7068,2.1858,0.75,133.484,6.5564,3.61493
18,3,13.3484,2.7068,2.1858,1,133.484,6.57298,3.62836
19,3,100.113,2.71,2.19501,0.75,10.0113,1.8567,0.809799
19,3,100.113,2.71,2.19501,1,10.0113,1.91239,0.746257
19,3,100.113,2.71,2.19501,1.1,10.0113,1.93677,0.718945
19,3,100.113,2.71,2.19501,0.75,100.113,1.72721,0.940037
19,3,100.113,2.71,2.19501,1,100.113,1.73176,0.935164
19,3,100.113,2.71,2.19501,1.1,100.113,1.7339,0.934104
19,3,100.113,2.71,2.19501,0.75,1001.13,1.71295,0.952634
19,3,100.113,2.71,2.19501,1,1001.13,1.71357,0.951605
20,3,750.847,2.70287,2.24606,0.75,75.0847,1.36257,2.3233
20,3,750.847,2.70287,2.24606,1,75.0847,1.36643,2.33089
20,3,750.847,2.70287,2.24606,1.1,75.0847,1.36769,2.33345
20,3,750.847,2.70287,2.24606,0.75,750.847,1.3523,2.30319
20,3,750.847,2.70287,2.24606,1,750.847,1.35226,2.30323
20,3,750.847,2.70287,2.24606,1.1,750.847,1.35365,2.30563
20,3,750.847,2.70287,2.24606,0.75,7508.47,1.35108,2.30064
20,3,750.847,2.70287,2.24606,1,7508.47,1.35108,2.30064
21,3,5631.35,2.68929,2.28704,0.75,563.135,2.00044,2.16308
21,3,5631.35,2.68929,2.28704,1,563.135,2.00191,2.16777
21,3,5631.35,2.68929,2.28704,1.1,563.135,2.00068,2.16797
21,3,5631.35,2.68929,2.28704,0.75,5631.35,1.99888,2.15093
21,3,5631.35,2.68929,2.28704,1,5631.35,1.99885,2.15099
21,3,5631.35,2.68929,2.28704,1.1,5631.35,2.00022,2.15318
21,3,5631.35,2.68929,2.28704,0.75,56313.5,1.99897,2.15096
21,3,5631.35,2.68929,2.28704,1,56313.5,1.99897,2.15096
22,3,4223.51,2.7953,2.2858,0.75,422.351,3.75124,2.83616
22,3,4223.51,2.7953,2.2858,1,422.351,3.74888,2.83667
22,3,4223.51,2.7953,2.2858,1.1,422.351,3.74976,2.83714
22,3,4223.51,2.7953,2.2858,0.75,4223.51,3.75299,2.83509
22,3,4223.51,2.7953,2.2858,1,4223.51,3.75319,2.83477
22,3,4223.51,2.7953,2.2858,1.1,4223.51,3.75263,2.83564
22,3,4223.51,2.7953,2.2858,0.75,42235.1,3.75502,2.83694
22,3,4223.51,2.7953,2.2858,1,42235.1,3.75502,2.83694
23,3,316.764,2.79484,2.28558,0.75,31.6764,2.17426,2.12774
23,3,316.764,2.79484,2.28558,1,31.6764,2.21745,2.1507
23,3,316.764,2.79484,2.28558,1.1,31.6764,2.23368,2.15824
23,3,316.764,2.79484,2.28558,0.75,316.764,2.05907,2.06232
23,3,316.764,2.79484,2.28558,1,316.764,2.06339,2.06538
23,3,316.764,2.79484,2.28558,1.1,316.764,2.0646,2.0645
23,3,316.764,2.79484,2.28558,0.75,3167.64,2.04575,2.05362
23,3,316.764,2.79484,2.28558,1,3167.64,2.04575,2.05362
24,3,2375.73,2.85553,2.29809,0.75,237.573,2.51013,0.84929
24,3,2375.73,2.85553,2.29809,1,237.573,2.51686,0.852183
24,3,2375.73,2.85553,2.29809,1.1,237.573,2.5193,0.853889
24,3,2375.73,2.85553,2.29809,0.75,2375.73,2.49223,0.841966
24,3,2375.73,2.85553,2.29809,1,2375.73,2.49332,0.841756
24,3,2375.73,2.85553,2.29809,1.1,2375.73,2.49332,0.841756
24,3,2375.73,2.85553,2.29809,0.75,23757.3,2.48952,0.840382
24,3,2375.73,2.85553,2.29809,1,23757.3,2.48952,0.840382
