,0,i,j,kper,obsnme
hds_00_003_010_079,46.8978462219238,3,10,79,hds_00_003_010_000
hds_00_003_010_080,49.2388496398926,3,10,80,hds_00_003_010_000
hds_00_003_010_081,49.813060760498,3,10,81,hds_00_003_010_000
hds_00_003_010_082,49.3137397766113,3,10,82,hds_00_003_010_000
hds_00_003_010_083,51.833621978759794,3,10,83,hds_00_003_010_000
hds_00_003_010_084,47.781681060790994,3,10,84,hds_00_003_010_000
hds_00_003_010_085,49.9556159973145,3,10,85,hds_00_003_010_000
hds_00_003_010_086,49.0562553405762,3,10,86,hds_00_003_010_000
hds_00_003_010_087,52.3150291442871,3,10,87,hds_00_003_010_000
hds_00_003_010_088,50.056976318359396,3,10,88,hds_00_003_010_000
hds_00_003_010_089,51.2468948364258,3,10,89,hds_00_003_010_000
hds_00_003_010_090,49.2515716552734,3,10,90,hds_00_003_010_000
hds_00_003_010_091,47.1559371948242,3,10,91,hds_00_003_010_000
hds_00_003_010_092,48.5414619445801,3,10,92,hds_00_003_010_000
hds_00_003_010_093,50.6930046081543,3,10,93,hds_00_003_010_000
hds_00_003_010_094,48.898197174072294,3,10,94,hds_00_003_010_000
hds_00_003_010_095,51.725856781005895,3,10,95,hds_00_003_010_000
hds_00_003_010_096,49.7071685791016,3,10,96,hds_00_003_010_000
hds_00_003_010_097,49.6945686340332,3,10,97,hds_00_003_010_000
hds_00_003_010_098,46.438014984130895,3,10,98,hds_00_003_010_000
hds_00_003_010_099,51.267852783203104,3,10,99,hds_00_003_010_000
hds_00_003_010_100,46.298458099365206,3,10,100,hds_00_003_010_000
hds_00_003_010_101,50.4918746948242,3,10,101,hds_00_003_010_000
hds_00_003_010_102,50.2123908996582,3,10,102,hds_00_003_010_000
hds_00_003_010_103,49.3731002807617,3,10,103,hds_00_003_010_000
hds_00_003_010_104,50.6592597961426,3,10,104,hds_00_003_010_000
hds_00_003_010_105,52.065494537353494,3,10,105,hds_00_003_010_000
hds_00_003_010_106,50.2021560668945,3,10,106,hds_00_003_010_000
hds_00_003_010_107,49.3564796447754,3,10,107,hds_00_003_010_000
hds_00_003_010_108,49.4949798583984,3,10,108,hds_00_003_010_000
hds_00_003_010_109,49.6399421691895,3,10,109,hds_00_003_010_000
hds_00_003_010_110,50.228267669677706,3,10,110,hds_00_003_010_000
hds_00_003_010_111,50.760746002197294,3,10,111,hds_00_003_010_000
hds_00_003_010_112,50.7143211364746,3,10,112,hds_00_003_010_000
hds_00_003_010_113,50.5190544128418,3,10,113,hds_00_003_010_000
hds_00_003_010_114,52.2862739562988,3,10,114,hds_00_003_010_000
hds_00_003_010_115,50.7539482116699,3,10,115,hds_00_003_010_000
hds_00_003_010_116,50.543304443359396,3,10,116,hds_00_003_010_000
hds_00_003_010_117,52.0767593383789,3,10,117,hds_00_003_010_000
hds_00_003_010_118,53.8120460510254,3,10,118,hds_00_003_010_000
hds_00_003_010_119,50.94682312011721,3,10,119,hds_00_003_010_000
hds_00_003_010_120,51.9156150817871,3,10,120,hds_00_003_010_000
hds_00_003_010_121,50.674400329589794,3,10,121,hds_00_003_010_000
hds_00_003_010_122,51.6188774108887,3,10,122,hds_00_003_010_000
hds_00_003_010_123,50.793216705322294,3,10,123,hds_00_003_010_000
hds_00_003_010_124,52.78202819824221,3,10,124,hds_00_003_010_000
hds_00_003_010_125,51.902229309082,3,10,125,hds_00_003_010_000
hds_00_003_010_126,51.1647071838379,3,10,126,hds_00_003_010_000
hds_00_003_010_127,50.7711906433105,3,10,127,hds_00_003_010_000
hds_00_003_010_128,52.2437133789062,3,10,128,hds_00_003_010_000
hds_00_003_010_129,51.9812698364258,3,10,129,hds_00_003_010_000
hds_00_003_010_130,49.4013481140137,3,10,130,hds_00_003_010_000
hds_00_003_010_131,52.7274169921875,3,10,131,hds_00_003_010_000
hds_00_003_010_132,50.3175926208496,3,10,132,hds_00_003_010_000
hds_00_003_010_133,52.5452766418457,3,10,133,hds_00_003_010_000
hds_00_003_010_134,52.1689872741699,3,10,134,hds_00_003_010_000
hds_00_003_010_135,50.9099235534668,3,10,135,hds_00_003_010_000
hds_00_003_010_136,50.7350540161133,3,10,136,hds_00_003_010_000
hds_00_003_010_137,49.710723876953104,3,10,137,hds_00_003_010_000
hds_00_003_010_138,49.703884124755895,3,10,138,hds_00_003_010_000
hds_00_003_010_139,50.309906005859396,3,10,139,hds_00_003_010_000
hds_00_003_010_140,51.5394401550293,3,10,140,hds_00_003_010_000
hds_00_003_010_141,50.7236938476562,3,10,141,hds_00_003_010_000
hds_00_003_010_142,50.5417137145996,3,10,142,hds_00_003_010_000
hds_00_003_010_143,50.9762153625488,3,10,143,hds_00_003_010_000
hds_00_003_010_144,51.080989837646506,3,10,144,hds_00_003_010_000
hds_00_003_010_145,50.2068862915039,3,10,145,hds_00_003_010_000
hds_00_003_010_146,51.26445007324221,3,10,146,hds_00_003_010_000
hds_00_003_010_147,52.1955223083496,3,10,147,hds_00_003_010_000
hds_00_003_010_148,50.238552093505895,3,10,148,hds_00_003_010_000
hds_00_003_010_149,50.729034423828104,3,10,149,hds_00_003_010_000
hds_00_003_010_150,50.6417236328125,3,10,150,hds_00_003_010_000
hds_00_003_010_151,50.2657585144043,3,10,151,hds_00_003_010_000
hds_00_003_010_152,50.864860534668,3,10,152,hds_00_003_010_000
hds_00_003_010_153,51.4051704406738,3,10,153,hds_00_003_010_000
hds_00_003_010_154,51.652015686035206,3,10,154,hds_00_003_010_000
hds_00_003_010_155,51.601779937744105,3,10,155,hds_00_003_010_000
hds_00_003_010_156,50.90058898925779,3,10,156,hds_00_003_010_000
hds_00_003_010_157,51.558498382568395,3,10,157,hds_00_003_010_000
hds_00_003_010_158,51.1605415344238,3,10,158,hds_00_003_010_000
hds_00_003_010_159,51.802608489990206,3,10,159,hds_00_003_010_000
hds_00_003_010_160,51.2859687805176,3,10,160,hds_00_003_010_000
hds_00_003_010_161,50.7421188354492,3,10,161,hds_00_003_010_000
hds_00_003_010_162,52.535186767578104,3,10,162,hds_00_003_010_000
hds_00_003_010_163,50.955493927002,3,10,163,hds_00_003_010_000
hds_00_003_010_164,50.07695007324221,3,10,164,hds_00_003_010_000
hds_00_003_010_165,51.094944000244105,3,10,165,hds_00_003_010_000
hds_00_003_010_166,51.1955413818359,3,10,166,hds_00_003_010_000
hds_00_003_010_167,49.9874992370605,3,10,167,hds_00_003_010_000
hds_00_003_010_168,51.363800048828104,3,10,168,hds_00_003_010_000
hds_00_003_010_169,50.5854644775391,3,10,169,hds_00_003_010_000
hds_00_003_010_170,51.5024299621582,3,10,170,hds_00_003_010_000
hds_00_003_010_171,52.879791259765604,3,10,171,hds_00_003_010_000
hds_00_003_010_172,50.7039375305176,3,10,172,hds_00_003_010_000
hds_00_003_010_173,52.70796203613279,3,10,173,hds_00_003_010_000
hds_00_003_010_174,52.243316650390604,3,10,174,hds_00_003_010_000
hds_00_003_010_175,50.814338684082,3,10,175,hds_00_003_010_000
hds_00_003_010_176,48.5050392150879,3,10,176,hds_00_003_010_000
hds_00_003_010_177,51.0672073364258,3,10,177,hds_00_003_010_000
hds_00_003_010_178,51.2502021789551,3,10,178,hds_00_003_010_000
hds_00_003_010_179,49.4378242492676,3,10,179,hds_00_003_010_000
hds_00_003_010_180,50.2004623413086,3,10,180,hds_00_003_010_000
hds_00_003_010_181,52.372184753418,3,10,181,hds_00_003_010_000
hds_00_003_010_182,50.6960639953613,3,10,182,hds_00_003_010_000
hds_00_003_010_183,51.4222602844238,3,10,183,hds_00_003_010_000
hds_00_003_010_184,49.816436767578104,3,10,184,hds_00_003_010_000
hds_00_003_010_185,50.123386383056605,3,10,185,hds_00_003_010_000
hds_00_003_010_186,51.8812789916992,3,10,186,hds_00_003_010_000
hds_00_003_010_187,51.3500366210938,3,10,187,hds_00_003_010_000
hds_00_003_010_188,52.989429473877,3,10,188,hds_00_003_010_000
hds_00_003_010_189,51.95698547363279,3,10,189,hds_00_003_010_000
hds_00_003_010_190,53.4313888549805,3,10,190,hds_00_003_010_000
hds_00_003_010_191,52.848258972168,3,10,191,hds_00_003_010_000
hds_00_003_010_192,52.3312301635742,3,10,192,hds_00_003_010_000
hds_00_003_010_193,52.780094146728494,3,10,193,hds_00_003_010_000
hds_00_003_010_194,54.20146179199221,3,10,194,hds_00_003_010_000
hds_00_003_010_195,52.746707916259794,3,10,195,hds_00_003_010_000
hds_00_003_010_196,52.7432861328125,3,10,196,hds_00_003_010_000
hds_00_003_010_197,50.71061706542971,3,10,197,hds_00_003_010_000
hds_00_003_010_198,52.596351623535206,3,10,198,hds_00_003_010_000
hds_00_003_010_199,50.845306396484396,3,10,199,hds_00_003_010_000
hds_00_003_010_200,49.699462890625,3,10,200,hds_00_003_010_000
hds_00_003_010_201,50.6601715087891,3,10,201,hds_00_003_010_000
hds_00_003_010_202,50.8217353820801,3,10,202,hds_00_003_010_000
hds_00_003_010_203,50.4810371398926,3,10,203,hds_00_003_010_000
hds_00_003_010_204,52.1100845336914,3,10,204,hds_00_003_010_000
hds_00_003_010_205,52.6506271362305,3,10,205,hds_00_003_010_000
hds_00_003_010_206,51.0146827697754,3,10,206,hds_00_003_010_000
hds_00_003_010_207,51.256198883056605,3,10,207,hds_00_003_010_000
hds_00_003_010_208,51.3126640319824,3,10,208,hds_00_003_010_000
hds_00_003_010_209,49.605197906494105,3,10,209,hds_00_003_010_000
hds_00_003_010_210,50.5981674194336,3,10,210,hds_00_003_010_000
hds_00_003_010_211,50.7353591918945,3,10,211,hds_00_003_010_000
hds_00_003_010_212,53.652095794677706,3,10,212,hds_00_003_010_000
hds_00_003_010_213,51.6635971069336,3,10,213,hds_00_003_010_000
hds_00_003_010_214,51.306331634521506,3,10,214,hds_00_003_010_000
hds_00_003_010_215,51.181236267089794,3,10,215,hds_00_003_010_000
hds_00_003_010_216,51.3741455078125,3,10,216,hds_00_003_010_000
hds_00_003_010_217,51.0512924194336,3,10,217,hds_00_003_010_000
hds_00_003_010_218,49.275455474853494,3,10,218,hds_00_003_010_000
hds_00_003_010_219,51.7414131164551,3,10,219,hds_00_003_010_000
hds_00_003_010_220,51.174072265625,3,10,220,hds_00_003_010_000
hds_00_003_010_221,52.237754821777294,3,10,221,hds_00_003_010_000
hds_00_003_010_222,53.783172607421896,3,10,222,hds_00_003_010_000
hds_00_003_010_223,50.8662643432617,3,10,223,hds_00_003_010_000
hds_00_003_010_224,50.7410888671875,3,10,224,hds_00_003_010_000
hds_00_003_010_225,50.0966911315918,3,10,225,hds_00_003_010_000
hds_00_003_010_226,51.594631195068395,3,10,226,hds_00_003_010_000
hds_00_003_010_227,50.8230781555176,3,10,227,hds_00_003_010_000
hds_00_003_010_228,49.809722900390604,3,10,228,hds_00_003_010_000
hds_00_003_010_229,52.5318756103516,3,10,229,hds_00_003_010_000
hds_00_003_010_230,50.122005462646506,3,10,230,hds_00_003_010_000
hds_00_003_010_231,49.7589454650879,3,10,231,hds_00_003_010_000
hds_00_003_010_232,50.040958404540994,3,10,232,hds_00_003_010_000
hds_00_003_010_233,53.1502838134766,3,10,233,hds_00_003_010_000
hds_00_003_010_234,50.3406448364258,3,10,234,hds_00_003_010_000
hds_00_003_010_235,51.570041656494105,3,10,235,hds_00_003_010_000
hds_00_003_010_236,49.852912902832,3,10,236,hds_00_003_010_000
hds_00_003_010_237,51.7190628051758,3,10,237,hds_00_003_010_000
hds_00_003_010_238,49.9110641479492,3,10,238,hds_00_003_010_000
hds_00_003_010_239,50.798732757568395,3,10,239,hds_00_003_010_000
hds_00_003_010_240,51.25341796875,3,10,240,hds_00_003_010_000
hds_00_003_010_241,50.8356857299805,3,10,241,hds_00_003_010_000
hds_00_003_010_242,50.570194244384794,3,10,242,hds_00_003_010_000
hds_00_003_010_243,52.420654296875,3,10,243,hds_00_003_010_000
hds_00_003_010_244,51.537757873535206,3,10,244,hds_00_003_010_000
hds_00_003_010_245,53.3897590637207,3,10,245,hds_00_003_010_000
hds_00_003_010_246,51.6397552490234,3,10,246,hds_00_003_010_000
hds_00_003_010_247,51.7901191711426,3,10,247,hds_00_003_010_000
hds_00_003_010_248,52.7751693725586,3,10,248,hds_00_003_010_000
hds_00_003_010_249,52.3862419128418,3,10,249,hds_00_003_010_000
hds_00_003_010_250,53.5522651672363,3,10,250,hds_00_003_010_000
hds_00_003_010_251,52.6663475036621,3,10,251,hds_00_003_010_000
hds_00_003_010_252,52.4771881103516,3,10,252,hds_00_003_010_000
hds_00_003_010_253,53.4258308410645,3,10,253,hds_00_003_010_000
hds_00_003_010_254,48.8879737854004,3,10,254,hds_00_003_010_000
hds_00_003_010_255,51.6174163818359,3,10,255,hds_00_003_010_000
hds_00_003_010_256,50.707893371582,3,10,256,hds_00_003_010_000
hds_00_003_010_257,51.3454666137695,3,10,257,hds_00_003_010_000
hds_00_003_010_258,51.3469161987305,3,10,258,hds_00_003_010_000
hds_00_003_010_259,52.9990234375,3,10,259,hds_00_003_010_000
hds_00_003_010_260,52.367946624755895,3,10,260,hds_00_003_010_000
hds_00_003_010_261,52.0247459411621,3,10,261,hds_00_003_010_000
hds_00_003_010_262,51.5061378479004,3,10,262,hds_00_003_010_000
hds_00_003_010_263,51.1805839538574,3,10,263,hds_00_003_010_000
hds_00_003_010_264,53.583675384521506,3,10,264,hds_00_003_010_000
hds_00_003_010_265,49.1712989807129,3,10,265,hds_00_003_010_000
hds_00_003_010_266,48.781410217285206,3,10,266,hds_00_003_010_000
hds_00_003_010_267,50.4953384399414,3,10,267,hds_00_003_010_000
hds_00_003_010_268,51.0471992492676,3,10,268,hds_00_003_010_000
hds_00_003_010_269,51.25248718261721,3,10,269,hds_00_003_010_000
hds_00_003_010_270,49.232879638671896,3,10,270,hds_00_003_010_000
hds_00_003_010_271,51.634429931640604,3,10,271,hds_00_003_010_000
hds_00_003_010_272,52.0675849914551,3,10,272,hds_00_003_010_000
hds_00_003_010_273,50.3550834655762,3,10,273,hds_00_003_010_000
hds_00_003_010_274,53.1177825927734,3,10,274,hds_00_003_010_000
hds_00_003_010_275,50.881717681884794,3,10,275,hds_00_003_010_000
hds_00_003_010_276,49.4683647155762,3,10,276,hds_00_003_010_000
hds_00_003_010_277,51.8326835632324,3,10,277,hds_00_003_010_000
hds_00_003_010_278,51.018627166748,3,10,278,hds_00_003_010_000
hds_00_003_010_279,50.2923393249512,3,10,279,hds_00_003_010_000
hds_00_003_010_280,49.8170852661133,3,10,280,hds_00_003_010_000
hds_00_003_010_281,51.5096778869629,3,10,281,hds_00_003_010_000
hds_00_003_010_282,51.060359954834006,3,10,282,hds_00_003_010_000
hds_00_003_010_283,50.6283302307129,3,10,283,hds_00_003_010_000
hds_00_003_010_284,49.241905212402294,3,10,284,hds_00_003_010_000
hds_00_003_010_285,51.1870269775391,3,10,285,hds_00_003_010_000
hds_00_003_010_286,49.8466720581055,3,10,286,hds_00_003_010_000
hds_00_003_010_287,49.951633453369105,3,10,287,hds_00_003_010_000
hds_00_003_010_288,51.4347953796387,3,10,288,hds_00_003_010_000
hds_00_003_010_289,47.361270904540994,3,10,289,hds_00_003_010_000
hds_00_003_010_290,46.679779052734396,3,10,290,hds_00_003_010_000
hds_00_003_010_291,46.022186279296896,3,10,291,hds_00_003_010_000
hds_00_003_010_292,48.9415702819824,3,10,292,hds_00_003_010_000
hds_00_003_010_293,50.5659523010254,3,10,293,hds_00_003_010_000
hds_00_003_010_294,51.739875793457,3,10,294,hds_00_003_010_000
hds_00_003_010_295,48.593822479248,3,10,295,hds_00_003_010_000
hds_00_003_010_296,48.1315574645996,3,10,296,hds_00_003_010_000
hds_00_003_010_297,47.163459777832,3,10,297,hds_00_003_010_000
hds_00_003_010_298,49.4814262390137,3,10,298,hds_00_003_010_000
hds_00_003_010_299,46.543773651123,3,10,299,hds_00_003_010_000
hds_00_003_010_300,52.027015686035206,3,10,300,hds_00_003_010_000
hds_00_003_010_301,51.9988136291504,3,10,301,hds_00_003_010_000
hds_00_003_010_302,51.2853317260742,3,10,302,hds_00_003_010_000
hds_00_003_010_303,49.687705993652294,3,10,303,hds_00_003_010_000
hds_00_003_010_304,50.0305099487305,3,10,304,hds_00_003_010_000
hds_00_003_010_305,53.1313667297363,3,10,305,hds_00_003_010_000
hds_00_003_010_306,49.287082672119105,3,10,306,hds_00_003_010_000
hds_00_003_010_307,49.3979644775391,3,10,307,hds_00_003_010_000
hds_00_003_010_308,49.0390205383301,3,10,308,hds_00_003_010_000
hds_00_003_010_309,48.5382804870605,3,10,309,hds_00_003_010_000
hds_00_003_010_310,50.6058883666992,3,10,310,hds_00_003_010_000
hds_00_003_010_311,51.7253837585449,3,10,311,hds_00_003_010_000
hds_00_003_010_312,49.8342819213867,3,10,312,hds_00_003_010_000
hds_00_003_010_313,49.3224945068359,3,10,313,hds_00_003_010_000
hds_00_003_010_314,49.4145355224609,3,10,314,hds_00_003_010_000
hds_00_003_010_315,49.0349655151367,3,10,315,hds_00_003_010_000
hds_00_003_010_316,51.072383880615206,3,10,316,hds_00_003_010_000
hds_00_003_010_317,49.258636474609396,3,10,317,hds_00_003_010_000
hds_00_003_010_318,50.8253288269043,3,10,318,hds_00_003_010_000
hds_00_003_010_319,52.7130851745605,3,10,319,hds_00_003_010_000
hds_00_003_010_320,49.5778617858887,3,10,320,hds_00_003_010_000
hds_00_003_010_321,49.377811431884794,3,10,321,hds_00_003_010_000
hds_00_003_010_322,50.1364822387695,3,10,322,hds_00_003_010_000
hds_00_003_010_323,49.9520683288574,3,10,323,hds_00_003_010_000
hds_00_003_010_324,50.6557273864746,3,10,324,hds_00_003_010_000
hds_00_003_010_325,49.989097595214794,3,10,325,hds_00_003_010_000
hds_00_003_010_326,50.085620880127,3,10,326,hds_00_003_010_000
hds_00_003_010_327,51.8712692260742,3,10,327,hds_00_003_010_000
hds_00_003_010_328,49.8408050537109,3,10,328,hds_00_003_010_000
hds_00_003_010_329,51.724796295165994,3,10,329,hds_00_003_010_000
hds_00_003_010_330,50.2953414916992,3,10,330,hds_00_003_010_000
hds_00_003_010_331,48.246856689453104,3,10,331,hds_00_003_010_000
hds_00_003_010_332,48.763179779052706,3,10,332,hds_00_003_010_000
hds_00_003_010_333,51.6302375793457,3,10,333,hds_00_003_010_000
hds_00_003_010_334,51.6707420349121,3,10,334,hds_00_003_010_000
hds_00_003_010_335,52.354419708252,3,10,335,hds_00_003_010_000
hds_00_003_010_336,50.379524230957,3,10,336,hds_00_003_010_000
hds_00_003_010_337,50.9648666381836,3,10,337,hds_00_003_010_000
hds_00_003_010_338,50.4988822937012,3,10,338,hds_00_003_010_000
hds_00_003_010_339,49.0534858703613,3,10,339,hds_00_003_010_000
hds_00_003_010_340,50.877655029296896,3,10,340,hds_00_003_010_000
hds_00_003_010_341,49.9085807800293,3,10,341,hds_00_003_010_000
hds_00_003_010_342,50.5043067932129,3,10,342,hds_00_003_010_000
hds_00_003_010_343,51.092845916748,3,10,343,hds_00_003_010_000
hds_00_003_010_344,50.1772117614746,3,10,344,hds_00_003_010_000
hds_00_003_010_345,49.7920036315918,3,10,345,hds_00_003_010_000
hds_00_003_010_346,49.0785026550293,3,10,346,hds_00_003_010_000
hds_00_003_010_347,48.8083152770996,3,10,347,hds_00_003_010_000
hds_00_003_010_348,52.9581909179688,3,10,348,hds_00_003_010_000
hds_00_003_010_349,50.6970024108887,3,10,349,hds_00_003_010_000
hds_00_003_010_350,51.468196868896506,3,10,350,hds_00_003_010_000
hds_00_003_010_351,50.6770629882812,3,10,351,hds_00_003_010_000
hds_00_003_010_352,50.148963928222706,3,10,352,hds_00_003_010_000
hds_00_003_010_353,51.147777557373,3,10,353,hds_00_003_010_000
hds_00_003_010_354,51.7232475280762,3,10,354,hds_00_003_010_000
hds_00_003_010_355,51.717647552490206,3,10,355,hds_00_003_010_000
hds_00_003_010_356,51.2668952941895,3,10,356,hds_00_003_010_000
hds_00_003_010_357,50.0607681274414,3,10,357,hds_00_003_010_000
hds_00_003_010_358,50.6576957702637,3,10,358,hds_00_003_010_000
hds_00_003_010_359,48.545970916748,3,10,359,hds_00_003_010_000
hds_00_003_010_360,52.905300140380895,3,10,360,hds_00_003_010_000
hds_00_003_010_361,47.258331298828104,3,10,361,hds_00_003_010_000
hds_00_003_010_362,49.248439788818395,3,10,362,hds_00_003_010_000
hds_00_003_010_363,50.4910774230957,3,10,363,hds_00_003_010_000
hds_00_003_010_364,49.136791229248,3,10,364,hds_00_003_010_000
hds_00_003_016_000,34.5441703796387,3,16,0,hds_00_003_016_000
hds_00_003_016_001,34.362781524658196,3,16,1,hds_00_003_016_000
hds_00_003_016_002,33.0575561523438,3,16,2,hds_00_003_016_000
hds_00_003_016_003,33.8554458618164,3,16,3,hds_00_003_016_000
hds_00_003_016_004,34.619083404541,3,16,4,hds_00_003_016_000
hds_00_003_016_005,33.060272216796896,3,16,5,hds_00_003_016_000
hds_00_003_016_006,33.851226806640604,3,16,6,hds_00_003_016_000
hds_00_003_016_007,31.0683155059814,3,16,7,hds_00_003_016_000
hds_00_003_016_008,34.8293685913086,3,16,8,hds_00_003_016_000
hds_00_003_016_009,29.924840927124,3,16,9,hds_00_003_016_000
hds_00_003_016_010,33.2469253540039,3,16,10,hds_00_003_016_000
hds_00_003_016_011,33.174221038818395,3,16,11,hds_00_003_016_000
hds_00_003_016_012,22.235609054565398,3,16,12,hds_00_003_016_000
hds_00_003_016_013,25.3081321716309,3,16,13,hds_00_003_016_000
hds_00_003_016_014,24.2677211761475,3,16,14,hds_00_003_016_000
hds_00_003_016_015,27.688606262207,3,16,15,hds_00_003_016_000
hds_00_003_016_016,20.554517745971697,3,16,16,hds_00_003_016_000
hds_00_003_016_017,13.709599494934098,3,16,17,hds_00_003_016_000
hds_00_003_016_018,18.6988563537598,3,16,18,hds_00_003_016_000
hds_00_003_016_019,19.752183914184602,3,16,19,hds_00_003_016_000
hds_00_003_016_020,15.379919052124,3,16,20,hds_00_003_016_000
hds_00_003_016_021,4.69318914413452,3,16,21,hds_00_003_016_000
hds_00_003_016_022,-16.700119018554698,3,16,22,hds_00_003_016_000
hds_00_003_016_023,0.6713878512382511,3,16,23,hds_00_003_016_000
