generation,member,obj_1,obj_2,_risk_,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
2,gen=1_member=10_de,4.81607,38.4392,0.808579,1,0.8044,2.32205,2.32205,1,-999
2,gen=0_member=4,1.75665,52.9103,0.685604,1,0.397804,0.101213,0.101213,1,-999
2,gen=0_member=8,2.74707,44.3221,0.0706925,2,1e+30,0.19191,0.19191,1,-999
2,gen=2_member=27_de,4.4803,37.4142,0.568018,2,1e+30,0.262562,0.262562,1,-999
2,gen=2_member=26_de,5.63728,38.7957,0.722243,2,1e+30,0.262562,0.262562,1,-999
2,gen=2_member=21_de,1.82776,42.4268,0.404324,1,1.00219,1.2366,1.2366,1,-999
2,gen=2_member=20_de,4.40335,38.5456,0.224589,2,0.307987,0.298168,0.298168,1,-999
2,gen=2_member=24_de,4.16819,39.962,0.392392,2,1.05753,0.275685,0.275685,1,-999
2,gen=2_member=23_de,3.09902,40.6016,0.305943,2,0.741635,0.236603,0.236603,1,-999
2,gen=2_member=29_de,3.04296,41.1366,0.34335,2,0.254453,0.265012,0.265012,1,-999
3,gen=1_member=15_de,7.21327,36.002,0.915163,1,1e+30,0.183542,0.183542,1,-999
3,gen=1_member=13_de,1.60308,45.0588,0.0321403,1,1e+30,0.139173,0.139173,1,-999
3,gen=0_member=9,10.3583,32.9082,0.875221,1,1e+30,0.104975,0.104975,1,-999
3,gen=0_member=2,3.04113,31.1529,0.735531,1,1e+30,4.10529,4.10529,1,-999
3,gen=0_member=1,0.46914,54.8448,0.776914,1,1e+30,0.0689768,0.0689768,1,-999
3,gen=2_member=21_de,1.82776,42.4268,0.404324,1,0.72456,0.198453,0.198453,1,-999
3,gen=1_member=10_de,4.81607,38.4392,0.808579,1,0.272519,0.252359,0.252359,1,-999
3,gen=0_member=0,1.29653,47.2443,0.162064,1,0.446066,0.125022,0.125022,1,-999
3,gen=0_member=4,1.75665,52.9103,0.685604,1,0.201615,0.0800798,0.0800798,1,-999
3,gen=3_member=39_de,2.97035,39.7039,0.577563,1,0.499831,0.237245,0.237245,1,-999
3,gen=3_member=38_de,4.0243,41.9484,0.86603,1,0.229782,0.222403,0.222403,1,-999
3,gen=3_member=33_de,6.48135,36.2712,0.224589,2,1e+30,0.208217,0.208217,1,-999
3,gen=3_member=30_de,4.90811,39.609,0.86603,1,0.371256,0.294007,0.294007,1,-999
3,gen=3_member=35_de,3.61227,39.9862,0.711805,2,1e+30,0.253954,0.253954,1,-999
3,gen=3_member=31_de,4.78613,38.4447,0.731788,2,1e+30,0.253954,0.253954,1,-999
3,gen=3_member=32_de,4.30365,37.1735,0.404324,2,0.99419,0.219705,0.219705,1,-999
3,gen=3_member=34_de,4.71675,40.9972,0.86603,1,0.174801,0.238537,0.238537,1,-999
4,gen=1_member=15_de,7.21327,36.002,0.915163,1,0.353286,0.184495,0.184495,1,-999
4,gen=1_member=13_de,1.60308,45.0588,0.0321403,1,1e+30,0.214239,0.214239,1,-999
4,gen=0_member=9,10.3583,32.9082,0.875221,1,1e+30,0.104975,0.104975,1,-999
4,gen=0_member=2,3.04113,31.1529,0.735531,1,1e+30,10.1117,10.1117,1,-999
4,gen=0_member=1,0.46914,54.8448,0.776914,1,1e+30,0.0839109,0.0839109,1,-999
4,gen=2_member=21_de,1.82776,42.4268,0.404324,1,0.577913,0.226217,0.226217,1,-999
4,gen=3_member=39_de,2.97035,39.7039,0.577563,1,0.39744,4.27235,4.27235,1,-999
4,gen=0_member=0,1.29653,47.2443,0.162064,1,0.444818,0.145927,0.145927,1,-999
4,gen=3_member=30_de,4.90811,39.609,0.86603,1,0.322071,0.314904,0.314904,1,-999
4,gen=1_member=10_de,4.81607,38.4392,0.808579,1,0.247945,2.31497,2.31497,1,-999
4,gen=3_member=38_de,4.0243,41.9484,0.86603,1,0.208593,0.26917,0.26917,1,-999
4,gen=0_member=4,1.75665,52.9103,0.685604,1,0.187638,0.101213,0.101213,1,-999
4,gen=3_member=34_de,4.71675,40.9972,0.86603,1,0.100692,0.294007,0.294007,1,-999
4,gen=4_member=45_de,6.26376,36.4536,0.593955,2,1e+30,0.223882,0.223882,1,-999
4,gen=4_member=41_de,2.23621,45.0884,0.99,1,1e+30,0.210274,0.210274,1,-999
4,gen=4_member=40_de,4.31202,37.9588,0.0644104,2,1e+30,0.254516,0.254516,1,-999
4,gen=4_member=42_de,4.50722,40.3027,0.850044,1,0.184589,0.294348,0.294348,1,-999
4,gen=4_member=48_de,3.30365,40.7823,0.0644104,2,1e+30,0.27871,0.27871,1,-999
4,gen=4_member=43_de,5.21144,38.5958,0.352878,2,1.0062,0.314904,0.314904,1,-999
4,gen=4_member=49_de,3.45925,40.639,0.433776,2,0.795908,0.29611,0.29611,1,-999
4,gen=4_member=46_de,6.00166,36.7255,0.331983,2,0.689667,0.243371,0.243371,1,-999
4,gen=4_member=44_de,2.30433,44.2143,0.99,1,0.18533,0.206294,0.206294,1,-999
4,gen=4_member=47_de,4.36526,39.0893,0.171804,2,0.775849,0.318798,0.318798,1,-999
5,gen=5_member=57_de,-0.043828,44.3156,0.331983,1,1e+30,0.116452,0.116452,1,-999
5,gen=5_member=55_de,9.95617,21.3423,0.361493,1,1e+30,0.0939071,0.0939071,1,-999
5,gen=5_member=51_de,-0.0171117,51.4679,0.593955,1,1e+30,0.065424,0.065424,1,-999
5,gen=4_member=41_de,2.94673,38.4833,0.99,1,1e+30,0.276846,0.276846,1,-999
5,gen=1_member=13_de,2.43398,37.2923,0.0321403,1,1e+30,0.276846,0.276846,1,-999
5,gen=2_member=27_de,6.77978,28.61,0.568018,1,0.349531,0.226956,0.226956,1,-999
5,gen=0_member=1,1.83419,42.477,0.776914,1,0.341832,0.162569,0.162569,1,-999
5,gen=5_member=54_de,6.36451,23.7489,0.298462,1,0.306536,0.128096,0.128096,1,-999
5,gen=5_member=52_de,6.86344,24.7941,0.759226,1,0.259495,0.150253,0.150253,1,-999
5,gen=4_member=49_de,5.20595,33.6867,0.433776,1,0.24479,0.255954,0.255954,1,-999
5,gen=4_member=47_de,4.48623,32.5691,0.171804,1,0.232799,0.275158,0.275158,1,-999
5,gen=5_member=56_de,0.455093,45.6589,0.759226,1,0.18513,0.105192,0.105192,1,-999
5,gen=1_member=14_de,4.86615,34.0732,0.685604,1,0.182209,0.275158,0.275158,1,-999
5,gen=1_member=15_de,7.52448,31.3301,0.915163,1,0.177174,0.236122,0.236122,1,-999
5,gen=1_member=19_de,5.98779,30.8394,0.129617,1,0.170423,0.279505,0.279505,1,-999
5,gen=4_member=42_de,3.66606,37.9588,0.850044,1,0.169255,0.286048,0.286048,1,-999
5,gen=1_member=10_de,7.32906,29.5704,0.808579,1,0.168596,0.252057,0.252057,1,-999
5,gen=0_member=2,4.09488,36.3599,0.735531,1,0.160768,0.273271,0.273271,1,-999
5,gen=5_member=53_de,2.48328,40.9046,0.850044,1,0.155434,0.206601,0.206601,1,-999
5,gen=0_member=8,5.76449,31.1514,0.0706925,1,0.14748,0.271795,0.271795,1,-999
5,gen=2_member=21_de,4.56964,32.7653,0.404324,1,0.142241,0.296711,0.296711,1,-999
5,gen=4_member=46_de,6.26061,29.2987,0.331983,1,0.0977497,0.279505,0.279505,1,-999
5,gen=5_member=58_de,5.35661,31.8689,0.99,1,0.0944483,0.287129,0.287129,1,-999
5,gen=3_member=39_de,3.66838,34.8248,0.577563,1,0.0875556,0.250246,0.250246,1,-999
5,gen=3_member=35_de,2.76487,38.1734,0.711805,1,0.0865966,0.316366,0.316366,1,-999
5,gen=2_member=23_de,2.92275,35.6439,0.305943,1,0.0814411,0.267306,0.267306,1,-999
5,gen=1_member=12_de,4.783,32.4927,0.310244,1,0.0772509,0.275741,0.275741,1,-999
5,gen=0_member=9,7.66434,29.3787,0.875221,1,0.077003,0.230133,0.230133,1,-999
5,gen=2_member=29_de,2.66264,36.9718,0.34335,1,0.0761,0.298179,0.298179,1,-999
5,gen=4_member=40_de,5.05182,30.1663,0.0644104,1,0.071211,0.252412,0.252412,1,-999
5,gen=4_member=44_de,3.74947,36.7762,0.99,1,0.0629617,0.269748,0.269748,1,-999
5,gen=3_member=36_de,2.22592,38.3762,0.34335,1,0.0582478,0.288127,0.288127,1,-999
5,gen=4_member=48_de,4.83788,30.692,0.0644104,1,0.0306576,0.261898,0.261898,1,-999
5,gen=3_member=37_de,2.31377,38.1213,0.310244,1,0.0279275,0.312336,0.312336,1,-999
6,gen=5_member=57_de,-0.043828,44.3156,0.331983,1,1e+30,0.115904,0.115904,1,-999
6,gen=5_member=55_de,9.95617,21.3423,0.361493,1,1e+30,0.0964085,0.0964085,1,-999
6,gen=5_member=51_de,-0.0171117,51.4679,0.593955,1,1e+30,0.0652551,0.0652551,1,-999
6,gen=4_member=41_de,2.94673,38.4833,0.99,1,1e+30,0.276846,0.276846,1,-999
6,gen=1_member=13_de,2.43398,37.2923,0.0321403,1,1e+30,0.292038,0.292038,1,-999
6,gen=2_member=27_de,6.77978,28.61,0.568018,1,0.234456,0.25701,0.25701,1,-999
6,gen=0_member=1,1.83419,42.477,0.776914,1,0.309485,0.156161,0.156161,1,-999
6,gen=5_member=54_de,6.36451,23.7489,0.298462,1,0.303452,0.132435,0.132435,1,-999
6,gen=5_member=52_de,6.86344,24.7941,0.759226,1,0.229344,0.150338,0.150338,1,-999
6,gen=4_member=49_de,5.20595,33.6867,0.433776,1,0.23755,0.275227,0.275227,1,-999
6,gen=4_member=47_de,4.48623,32.5691,0.171804,1,0.213153,0.281062,0.281062,1,-999
6,gen=5_member=56_de,0.455093,45.6589,0.759226,1,0.18513,0.104174,0.104174,1,-999
6,gen=1_member=14_de,4.86615,34.0732,0.685604,2,1e+30,0.275158,0.275158,1,-999
6,gen=1_member=15_de,7.52448,31.3301,0.915163,1,0.168392,0.236122,0.236122,1,-999
6,gen=1_member=19_de,5.98779,30.8394,0.129617,1,0.146025,0.279505,0.279505,1,-999
6,gen=4_member=42_de,3.66606,37.9588,0.850044,1,0.132068,0.286048,0.286048,1,-999
6,gen=1_member=10_de,7.32906,29.5704,0.808579,1,0.157126,0.264991,0.264991,1,-999
6,gen=0_member=2,4.09488,36.3599,0.735531,1,0.142788,0.273271,0.273271,1,-999
6,gen=5_member=53_de,2.48328,40.9046,0.850044,1,0.149553,0.193262,0.193262,1,-999
6,gen=0_member=8,5.76449,31.1514,0.0706925,1,0.14748,0.280797,0.280797,1,-999
6,gen=2_member=21_de,4.56964,32.7653,0.404324,1,0.1245,0.300404,0.300404,1,-999
6,gen=4_member=46_de,6.26061,29.2987,0.331983,1,0.0850852,0.284753,0.284753,1,-999
6,gen=5_member=58_de,5.35661,31.8689,0.99,1,0.0845567,0.287129,0.287129,1,-999
6,gen=3_member=39_de,3.66838,34.8248,0.577563,1,0.0947961,0.255208,0.255208,1,-999
6,gen=3_member=35_de,2.76487,38.1734,0.711805,1,0.182278,0.316366,0.316366,1,-999
6,gen=2_member=23_de,2.92275,35.6439,0.305943,1,0.0709265,0.267306,0.267306,1,-999
6,gen=1_member=12_de,4.783,32.4927,0.310244,1,0.0598917,0.283868,0.283868,1,-999
6,gen=0_member=9,7.66434,29.3787,0.875221,1,0.077003,0.25273,0.25273,1,-999
6,gen=2_member=29_de,2.66264,36.9718,0.34335,1,0.0640462,0.304906,0.304906,1,-999
6,gen=4_member=40_de,5.05182,30.1663,0.0644104,1,0.0740371,1.25241,1.25241,1,-999
6,gen=4_member=44_de,3.74947,36.7762,0.99,1,0.0629617,0.280903,0.280903,1,-999
6,gen=3_member=36_de,2.22592,38.3762,0.34335,1,0.0582478,0.288127,0.288127,1,-999
6,gen=4_member=48_de,4.83788,30.692,0.0644104,1,0.0466856,0.278969,0.278969,1,-999
6,gen=3_member=37_de,2.31377,38.1213,0.310244,1,0.0279275,0.312336,0.312336,1,-999
6,gen=6_member=69_de,2.60382,37.4127,0.433776,1,0.0400601,0.307285,0.307285,1,-999
6,gen=6_member=68_de,6.83906,27.8803,0.302989,1,0.142843,0.221925,0.221925,1,-999
6,gen=6_member=67_de,5.88135,30.1775,0.01,2,1e+30,0.265865,0.265865,1,-999
6,gen=6_member=65_de,7.41688,28.9916,0.777595,1,0.0754582,0.244708,0.244708,1,-999
6,gen=6_member=63_de,4.8084,33.8551,0.99,1,0.0432675,1.28106,1.28106,1,-999
6,gen=6_member=64_de,4.6056,32.1947,0.148435,1,0.0860861,0.280797,0.280797,1,-999
6,gen=6_member=60_de,3.27865,36.1855,0.331983,1,0.0957013,0.292038,0.292038,1,-999
7,gen=1_member=13_de,2.43398,37.2923,0.0321403,1,0.0309827,0.316366,0.316366,1,-999
7,gen=5_member=57_de,-0.043828,44.3156,0.331983,1,1e+30,0.115904,0.115904,1,-999
7,gen=5_member=55_de,9.95617,21.3423,0.361493,1,1e+30,0.0964085,0.0964085,1,-999
7,gen=5_member=51_de,-0.0171117,51.4679,0.593955,1,1e+30,0.0652551,0.0652551,1,-999
7,gen=4_member=41_de,2.94673,38.4833,0.99,1,1e+30,0.276846,0.276846,1,-999
7,gen=0_member=1,1.83419,42.477,0.776914,1,0.309051,0.156161,0.156161,1,-999
7,gen=5_member=54_de,6.36451,23.7489,0.298462,1,0.26574,0.132435,0.132435,1,-999
7,gen=4_member=49_de,5.20595,33.6867,0.433776,2,1e+30,0.276992,0.276992,1,-999
7,gen=2_member=27_de,6.77978,28.61,0.568018,1,0.119423,0.300037,0.300037,1,-999
7,gen=5_member=52_de,6.86344,24.7941,0.759226,1,0.228368,0.150338,0.150338,1,-999
7,gen=4_member=47_de,4.48623,32.5691,0.171804,1,0.178373,0.298071,0.298071,1,-999
7,gen=5_member=56_de,0.455093,45.6589,0.759226,1,0.18513,0.104174,0.104174,1,-999
7,gen=3_member=35_de,2.76487,38.1734,0.711805,1,0.178939,0.316366,0.316366,1,-999
7,gen=1_member=15_de,7.52448,31.3301,0.915163,1,0.17485,0.238293,0.238293,1,-999
7,gen=1_member=10_de,7.32906,29.5704,0.808579,1,0.146252,0.264991,0.264991,1,-999
7,gen=5_member=53_de,2.48328,40.9046,0.850044,1,0.140241,0.193262,0.193262,1,-999
7,gen=0_member=8,5.76449,31.1514,0.0706925,2,1e+30,0.309076,0.309076,1,-999
7,gen=1_member=19_de,5.98779,30.8394,0.129617,1,0.182225,0.31634,0.31634,1,-999
7,gen=6_member=68_de,6.83906,27.8803,0.302989,1,0.142666,0.246636,0.246636,1,-999
7,gen=0_member=2,4.09488,36.3599,0.735531,1,0.133776,0.273271,0.273271,1,-999
7,gen=4_member=42_de,3.66606,37.9588,0.850044,1,0.102615,0.286048,0.286048,1,-999
7,gen=2_member=21_de,4.56964,32.7653,0.404324,1,0.108398,0.308442,0.308442,1,-999
7,gen=6_member=60_de,3.27865,36.1855,0.331983,1,0.0848417,0.293759,0.293759,1,-999
7,gen=3_member=39_de,3.66838,34.8248,0.577563,1,0.0941843,0.261284,0.261284,1,-999
7,gen=6_member=64_de,4.6056,32.1947,0.148435,1,0.0850911,0.315055,0.315055,1,-999
7,gen=4_member=46_de,6.26061,29.2987,0.331983,1,0.0843043,0.284753,0.284753,1,-999
7,gen=5_member=58_de,5.35661,31.8689,0.99,1,0.121268,1.30379,1.30379,1,-999
7,gen=0_member=9,7.66434,29.3787,0.875221,1,0.0754671,0.262895,0.262895,1,-999
7,gen=6_member=65_de,7.41688,28.9916,0.777595,1,0.0747114,0.296233,0.296233,1,-999
7,gen=4_member=40_de,5.05182,30.1663,0.0644104,1,0.126107,0.289293,0.289293,1,-999
7,gen=2_member=23_de,2.92275,35.6439,0.305943,1,0.0707553,0.280903,0.280903,1,-999
7,gen=2_member=29_de,2.66264,36.9718,0.34335,1,0.0533138,0.306662,0.306662,1,-999
7,gen=4_member=44_de,3.74947,36.7762,0.99,1,0.0629617,0.280903,0.280903,1,-999
7,gen=1_member=12_de,4.783,32.4927,0.310244,1,0.0592775,0.324005,0.324005,1,-999
7,gen=3_member=36_de,2.22592,38.3762,0.34335,1,0.0582478,0.290325,0.290325,1,-999
7,gen=4_member=48_de,4.83788,30.692,0.0644104,1,0.0466856,1.28385,1.28385,1,-999
7,gen=6_member=63_de,4.8084,33.8551,0.99,1,0.0507243,0.281062,0.281062,1,-999
7,gen=6_member=69_de,2.60382,37.4127,0.433776,1,0.172103,0.329066,0.329066,1,-999
7,gen=3_member=37_de,2.31377,38.1213,0.310244,1,0.0279275,0.314808,0.314808,1,-999
7,gen=7_member=75_de,2.51071,36.99,0.0540906,1,0.0556211,0.296073,0.296073,1,-999
7,gen=7_member=74_de,5.51197,32.2069,0.99,2,1e+30,0.292198,0.292198,1,-999
7,gen=7_member=72_de,4.94148,31.1368,0.01,2,1e+30,0.320663,0.320663,1,-999
7,gen=7_member=70_de,6.43361,29.8902,0.433776,1,0.0613087,0.293771,0.293771,1,-999
7,gen=7_member=71_de,5.06214,30.8753,0.536413,1,0.183747,2.31936,2.31936,1,-999
7,gen=7_member=77_de,4.40729,33.253,0.01,1,0.0622632,0.324092,0.324092,1,-999
7,gen=7_member=76_de,3.55746,33.4621,0.01,1,1e+30,0.274953,0.274953,1,-999
8,gen=8_member=87_de,5.21851,30.9489,0.133065,1,1e+30,0.112874,0.112874,1,-999
8,gen=8_member=82_de,0.483283,55.9688,0.891548,1,1e+30,0.0775039,0.0775039,1,-999
8,gen=4_member=44_de,3.15116,40.8436,0.99,1,1e+30,0.352034,0.352034,1,-999
8,gen=8_member=80_de,7.7702,31.8829,0.99,1,1e+30,0.115298,0.115298,1,-999
8,gen=7_member=75_de,-0.164678,47.2202,0.0540906,1,1e+30,0.154301,0.154301,1,-999
8,gen=6_member=67_de,2.25723,41.5053,0.01,1,1e+30,0.320476,0.320476,1,-999
8,gen=8_member=89_de,1.24296,45.245,0.650979,1,0.31412,0.214496,0.214496,1,-999
8,gen=8_member=83_de,5.36608,35.6729,0.433776,1,0.206734,0.21927,0.21927,1,-999
8,gen=4_member=47_de,2.62741,40.4603,0.171804,1,0.192287,0.368275,0.368275,1,-999
8,gen=1_member=15_de,4.80885,37.8625,0.915163,1,0.181679,0.30418,0.30418,1,-999
8,gen=3_member=32_de,4.00576,37.0553,0.404324,1,0.16069,0.302101,0.302101,1,-999
8,gen=7_member=78_de,3.80607,37.6613,0.133065,1,0.157888,0.30418,0.30418,1,-999
8,gen=5_member=54_de,2.82158,40.2438,0.298462,1,0.152647,0.377944,0.377944,1,-999
8,gen=7_member=71_de,0.317667,45.2265,0.536413,1,0.137697,0.207827,0.207827,1,-999
8,gen=6_member=65_de,3.60684,39.1523,0.777595,1,0.135186,0.319314,0.319314,1,-999
8,gen=5_member=53_de,2.4953,42.863,0.850044,1,0.134394,0.304043,0.304043,1,-999
8,gen=5_member=52_de,2.14087,42.0205,0.759226,1,0.127974,0.340898,0.340898,1,-999
8,gen=8_member=84_de,-0.0171117,48.347,0.49907,1,0.123229,0.135157,0.135157,1,-999
8,gen=3_member=38_de,4.65602,38.0948,0.86603,1,0.117479,0.302101,0.302101,1,-999
8,gen=6_member=63_de,1.6809,43.2458,0.99,1,0.116931,0.250923,0.250923,1,-999
8,gen=4_member=48_de,2.76356,39.3994,0.0644104,1,0.112023,0.344483,0.344483,1,-999
8,gen=8_member=86_de,-0.0171117,47.6732,0.475221,1,0.111665,0.147717,0.147717,1,-999
8,gen=5_member=55_de,3.02334,38.9183,0.361493,1,0.106419,0.327162,0.327162,1,-999
8,gen=1_member=13_de,1.38927,45.138,0.0321403,1,0.0976866,0.217474,0.217474,1,-999
8,gen=4_member=45_de,3.19198,40.3387,0.593955,1,0.0957397,0.399031,0.399031,1,-999
8,gen=3_member=39_de,1.71333,42.0039,0.577563,1,0.0956909,0.323241,0.323241,1,-999
8,gen=7_member=70_de,2.96916,41.7389,0.433776,1,0.0928785,0.325771,0.325771,1,-999
8,gen=3_member=35_de,3.27882,40.5051,0.711805,1,0.0923442,0.385149,0.385149,1,-999
8,gen=2_member=21_de,1.50697,42.6821,0.404324,1,0.0890151,0.289832,0.289832,1,-999
8,gen=3_member=34_de,3.5375,40.5668,0.86603,1,0.0819895,0.345122,0.345122,1,-999
8,gen=2_member=27_de,3.33437,39.43,0.568018,1,0.0772454,0.364092,0.364092,1,-999
8,gen=2_member=29_de,2.6497,41.4896,0.34335,1,0.0737187,0.328667,0.328667,1,-999
8,gen=5_member=57_de,2.45582,41.5405,0.331983,1,0.0731234,0.339544,0.339544,1,-999
8,gen=3_member=37_de,2.96081,39.9718,0.310244,1,0.0662746,0.378444,0.378444,1,-999
8,gen=2_member=24_de,3.09808,40.3623,0.392392,1,0.0646718,0.40095,0.40095,1,-999
8,gen=0_member=2,3.31504,39.6457,0.735531,1,0.0506579,0.354165,0.354165,1,-999
8,gen=2_member=26_de,4.65692,37.3841,0.722243,1,0.0467098,0.325584,0.325584,1,-999
8,gen=3_member=31_de,4.69169,37.1152,0.731788,1,0.045848,0.306736,0.306736,1,-999
8,gen=6_member=61_de,3.8384,38.0322,0.593955,1,0.0344496,0.316609,0.316609,1,-999
8,gen=6_member=68_de,1.38994,42.6099,0.302989,1,0.0330674,0.291152,0.291152,1,-999
8,gen=2_member=23_de,2.84379,40.4638,0.305943,1,0.0267406,0.399093,0.399093,1,-999
8,gen=8_member=81_de,-0.164678,42.4169,0.01,1,0.0235551,0.21797,0.21797,1,-999
8,gen=5_member=51_de,2.97679,40.7968,0.593955,1,0.0178913,0.378354,0.378354,1,-999
8,gen=5_member=58_de,3.5564,39.58,0.99,1,0.0173599,0.333924,0.333924,1,-999
8,gen=7_member=79_de,2.81108,39.1229,0.133065,1,0.0166649,0.330637,0.330637,1,-999
9,gen=9_member=99_de,10.4551,25.4135,0.698313,1,1e+30,0.0942208,0.0942208,1,-999
9,gen=9_member=91_de,-0.164678,55.8014,0.01,1,1e+30,0.0598519,0.0598519,1,-999
9,gen=6_member=63_de,3.10895,35.2865,0.99,1,1e+30,0.28242,0.28242,1,-999
9,gen=8_member=82_de,2.3876,44.7257,0.891548,1,0.384862,0.161128,0.161128,1,-999
9,gen=2_member=20_de,3.99203,32.9037,0.224589,1,0.315437,0.283809,0.283809,1,-999
9,gen=2_member=25_de,5.22047,32.0498,0.334883,1,0.299803,0.288727,0.288727,1,-999
9,gen=9_member=95_de,2.87115,38.6381,0.931759,1,0.240121,0.199031,0.199031,1,-999
9,gen=0_member=4,1.45905,43.7686,0.685604,1,0.234951,0.19682,0.19682,1,-999
9,gen=1_member=10_de,2.36077,36.6212,0.808579,1,0.232914,0.28242,0.28242,1,-999
9,gen=4_member=40_de,1.63568,36.0174,0.0644104,1,0.220606,0.312332,0.312332,1,-999
9,gen=8_member=86_de,1.09575,40.7731,0.475221,1,0.195291,0.188515,0.188515,1,-999
9,gen=3_member=39_de,1.96588,35.4096,0.577563,1,0.177816,0.316264,0.316264,1,-999
9,gen=9_member=94_de,0.417262,41.105,0.0540906,1,0.160376,0.178936,0.178936,1,-999
9,gen=1_member=12_de,5.16449,32.2633,0.310244,1,0.153501,0.303469,0.303469,1,-999
9,gen=2_member=22_de,5.49249,32.7,0.392392,1,0.142905,0.312594,0.312594,1,-999
9,gen=7_member=71_de,1.44933,36.3216,0.536413,1,0.139646,0.327982,0.327982,1,-999
9,gen=2_member=23_de,1.78975,35.824,0.305943,1,0.129119,0.303743,0.303743,1,-999
9,gen=4_member=43_de,6.06753,32.5738,0.352878,1,0.126439,0.338309,0.338309,1,-999
9,gen=4_member=49_de,3.17676,34.3221,0.433776,1,0.125007,0.28923,0.28923,1,-999
9,gen=1_member=16_de,1.86628,40.7171,0.568018,1,0.121438,0.190225,0.190225,1,-999
9,gen=3_member=32_de,4.07713,32.9607,0.404324,1,0.113182,0.288727,0.288727,1,-999
9,gen=2_member=21_de,2.70267,34.691,0.404324,1,0.107895,0.310154,0.310154,1,-999
9,gen=2_member=26_de,6.63889,32.579,0.722243,1,0.105889,0.280687,0.280687,1,-999
9,gen=9_member=90_de,3.36495,32.9882,0.99,1,0.105151,0.254805,0.254805,1,-999
9,gen=5_member=52_de,3.01031,34.9339,0.759226,1,0.0977757,0.279551,0.279551,1,-999
9,gen=0_member=1,1.88734,43.9673,0.776914,1,0.0882768,0.188515,0.188515,1,-999
9,gen=5_member=59_de,6.20029,32.9026,0.705919,1,0.0849248,0.304889,0.304889,1,-999
9,gen=9_member=96_de,0.62319,36.2946,0.01,1,0.066898,0.253808,0.253808,1,-999
9,gen=9_member=92_de,1.93447,33.8232,0.01,1,0.0512929,0.254805,0.254805,1,-999
9,gen=1_member=15_de,6.70303,32.5454,0.915163,1,0.0512489,0.272672,0.272672,1,-999
9,gen=9_member=98_de,0.491626,51.3791,0.99,1,0.019391,0.0811894,0.0811894,1,-999
10,gen=10_member=100_de,10.4551,22.8065,0.777074,1,1e+30,0.115802,0.115802,1,-999
10,gen=10_member=101_de,-0.164678,54.8111,0.01,1,1e+30,0.0775419,0.0775419,1,-999
10,gen=10_member=105_de,0.483283,55.0094,0.99,1,1e+30,0.0771821,0.0771821,1,-999
10,gen=8_member=82_de,2.52675,48.73,0.891548,1,0.666405,0.138685,0.138685,1,-999
