run_id,input_run_id,failed_flag,phi,meas_phi,regul_phi,HEAD,H01_01,H01_02,H01_03,H01_04,H01_05,H01_06,H01_07,H01_08,H01_09,H01_10,H02_01,H02_02,H02_03,H02_04,H02_05,H02_06,H02_07,H02_08,H02_09,H02_10
11,11,0,2197.845,2197.845,0,2197.845,0.617,5.015,5.215,5.415,5.615,5.815,6.015,6.215,6.415,6.615,0.617,9.412,9.812,10.212,10.612,11.012,11.412,11.812,12.212,12.612
12,12,0,92.2081999999999,92.2081999999999,0,92.2081999999999,1.352,2.379,2.579,2.779,2.979,3.179,3.379,3.579,3.779,3.979,1.352,3.406,3.806,4.206,4.606,5.006,5.406,5.806,6.206,6.606
13,13,0,475.5528,475.5528,0,475.5528,1.192,3.242,3.442,3.642,3.842,4.042,4.242,4.442,4.642,4.842,1.192,5.293,5.693,6.093,6.493,6.893,7.293,7.693,8.093,8.493
14,14,0,343.22,343.22,0,343.22,0.271,0.39,0.59,0.79,0.99,1.19,1.39,1.59,1.79,1.99,0.271,0.51,0.91,1.31,1.71,2.11,2.51,2.91,3.31,3.71
15,15,0,6111.7568,6111.7568,0,6111.7568,0.721,7.228,7.428,7.628,7.828,8.028,8.228,8.428,8.628,8.828,0.721,13.735,14.135,14.535,14.935,15.335,15.735,16.135,16.535,16.935
16,16,0,43.9922,43.9922,0,43.9922,0.235,2.169,2.369,2.569,2.769,2.969,3.169,3.369,3.569,3.769,0.235,4.103,4.503,4.903,5.303,5.703,6.103,6.503,6.903,7.303
17,17,0,77.3768,77.3768,0,77.3768,0.474,1.078,1.278,1.478,1.678,1.878,2.078,2.278,2.478,2.678,0.474,1.682,2.082,2.482,2.882,3.282,3.682,4.082,4.482,4.882
18,18,0,127.0418,127.0418,0,127.0418,0.479,0.903,1.103,1.303,1.503,1.703,1.903,2.103,2.303,2.503,0.479,1.328,1.728,2.128,2.528,2.928,3.328,3.728,4.128,4.528
19,19,0,3134.7362,3134.7362,0,3134.7362,0.868,5.659,5.859,6.059,6.259,6.459,6.659,6.859,7.059,7.259,0.868,10.45,10.85,11.25,11.65,12.05,12.45,12.85,13.25,13.65
20,20,0,105.125,105.125,0,105.125,1.147,2.425,2.625,2.825,3.025,3.225,3.425,3.625,3.825,4.025,1.147,3.702,4.102,4.502,4.902,5.302,5.702,6.102,6.502,6.902
21,21,0,369.3762,369.3762,0,369.3762,0.207,0.341,0.541,0.741,0.941,1.141,1.341,1.541,1.741,1.941,0.207,0.476,0.876,1.276,1.676,2.076,2.476,2.876,3.276,3.676
22,22,0,62.9442,62.9442,0,62.9442,1.483,2.261,2.461,2.661,2.861,3.061,3.261,3.461,3.661,3.861,1.483,3.039,3.439,3.839,4.239,4.639,5.039,5.439,5.839,6.239
23,23,0,30.2642,30.2642,0,30.2642,1.035,1.311,1.511,1.711,1.911,2.111,2.311,2.511,2.711,2.911,1.035,1.588,1.988,2.388,2.788,3.188,3.588,3.988,4.388,4.788
24,24,0,519.7088,519.7088,0,519.7088,1.766,3.312,3.512,3.712,3.912,4.112,4.312,4.512,4.712,4.912,1.766,4.858,5.258,5.658,6.058,6.458,6.858,7.258,7.658,8.058
25,25,0,324.1058,324.1058,0,324.1058,0.089,0.427,0.627,0.827,1.027,1.227,1.427,1.627,1.827,2.027,0.089,0.766,1.166,1.566,1.966,2.366,2.766,3.166,3.566,3.966
26,26,0,4956.0968,4956.0968,0,4956.0968,0.292,6.678,6.878,7.078,7.278,7.478,7.678,7.878,8.078,8.278,0.292,13.063,13.463,13.863,14.263,14.663,15.063,15.463,15.863,16.263
27,27,0,109.2242,109.2242,0,109.2242,0.801,0.961,1.161,1.361,1.561,1.761,1.961,2.161,2.361,2.561,0.801,1.121,1.521,1.921,2.321,2.721,3.121,3.521,3.921,4.321
28,28,0,288.4802,288.4802,0,288.4802,1.252,2.901,3.101,3.301,3.501,3.701,3.901,4.101,4.301,4.501,1.252,4.549,4.949,5.349,5.749,6.149,6.549,6.949,7.349,7.749
29,29,0,105.7058,105.7058,0,105.7058,0.806,0.973,1.173,1.373,1.573,1.773,1.973,2.173,2.373,2.573,0.806,1.139,1.539,1.939,2.339,2.739,3.139,3.539,3.939,4.339
