 Inversion problem specifications ----->

   Number of parameters                                                 : 7
   Number of adjustable parameters                                      : 6
   Number of observations                                               : 1015
   Number of prior information equations                                : 0
   Number of observations plus prior information equations              : 1015
   Number of observations plus prior info. eqns. with non-zero weight   : 1015


 Cook's D ----->

 Observation_name       Stud_res        Leverage        var(h)/var(f)   Cooks_D         Hadis_stat
 oid:_149_best          -3.6265094E-02   2.8155098E-03   2.8234593E-03   6.1888208E-07   2.8312799E-03
 oid:_152_best          -0.4489538       2.4381115E-02   2.4990409E-02   8.3950897E-04   2.6189212E-02
 oid:_154_best           0.6351628       1.4792044E-03   1.4813957E-03   9.9607016E-05   3.8813535E-03
 oid:_155_best          -0.5043848       7.2192268E-04   7.2244423E-04   3.0632122E-05   2.2356345E-03
 oid:_158_fair          -0.2384677       1.1711517E-04   1.1712889E-04   1.1101253E-06   4.5530568E-04
 oid:_159_poor           6.0356724E-03   1.5504822E-06   1.5504846E-06   9.4138555E-12   1.7671110E-06
 oid:_160_fair          -0.1163301       1.0811640E-04   1.0812809E-04   2.4387721E-07   1.8860102E-04
 oid:_161_best          -0.2594435       2.7637516E-03   2.7714111E-03   3.1091053E-05   3.1717010E-03
 oid:_162_best           6.8368214E-02   6.7174095E-03   6.7628383E-03   5.2684908E-06   6.7906335E-03
 oid:_163_fair          -0.2524682       2.1894896E-04   2.1899691E-04   2.3264841E-06   5.9805072E-04
 oid:_164_fair          -6.7480139E-02   1.1163880E-05   1.1164004E-05   8.4726776E-09   3.8241842E-05
 oid:_165_best           -2.209551       8.7379096E-03   8.8149337E-03   7.1725861E-03   3.7986253E-02
 oid:_166_best          -0.8498310       5.8447348E-04   5.8481529E-04   7.0393502E-05   4.8825141E-03
 oid:_167_best           0.2821359       6.3962263E-03   6.4374013E-03   8.5403594E-05   6.9107825E-03
 oid:_168_best           -1.956171       6.9404873E-03   6.9889943E-03   4.4573544E-03   2.9829858E-02
 oid:_169_best           -1.240845       3.5200314E-03   3.5324658E-03   9.0648671E-04   1.2702178E-02
 oid:_170_best           0.1988951       6.7588342E-04   6.7634055E-04   4.4592549E-06   9.1158816E-04
 oid:_171_best          -0.5430916       3.6016147E-03   3.6146332E-03   1.7768842E-04   5.3690498E-03
 oid:_172_poor          -7.3429098E-03   9.4099564E-05   9.4108419E-05   8.4569472E-10   9.4429044E-05
 oid:_173_best           0.7251804       8.5178919E-03   8.5910697E-03   7.5298818E-04   1.1719862E-02
 oid:_174_best          -0.2347501       9.1382493E-04   9.1466077E-04   8.4007948E-06   1.2423750E-03
 oid:_176_best           0.5560841       7.3394843E-04   7.3448750E-04   3.7854205E-05   2.5738786E-03
 oid:_177_best           -1.181784       3.0197766E-03   3.0289233E-03   7.0503878E-04   1.1345331E-02
 oid:_178_best           0.2051481       9.0752428E-03   9.1583571E-03   6.4239362E-05   9.4086295E-03
 oid:_179_best          -0.4729774       8.4214119E-03   8.4929344E-03   3.1665567E-04   9.8235001E-03
 oid:_182_best           0.4172192       5.7778747E-03   5.8114525E-03   1.6860173E-04   6.8467452E-03
 oid:_183_best          -0.8474232       3.1909992E-04   3.1920178E-04   3.8204525E-05   4.5925663E-03
 oid:_185_best            1.098796       7.8026753E-03   7.8640359E-03   1.5824446E-03   1.5052072E-02
 oid:_188_fair          -6.4478324E-02   3.5380793E-04   3.5393315E-04   2.4524348E-07   3.7865548E-04
 oid:_190_fair          -2.7417421E-02   1.8384290E-04   1.8387670E-04   2.3037145E-08   1.8834677E-04
 oid:_191_best           7.7020810E-02   9.5949467E-05   9.5958674E-05   9.4874424E-08   1.3123463E-04
 oid:_192_best           -4.769165       1.1842321E-02   1.1984242E-02   4.5430144E-02   0.1503180    
 oid:_193_best          -0.3973065       1.3263729E-02   1.3442020E-02   3.5364266E-04   1.4380832E-02
 oid:_194_best          -0.4655435       3.2075926E-03   3.2179144E-03   1.1623685E-04   4.5069760E-03
 oid:_195_best          -0.6713251       6.8810959E-03   6.9287734E-03   5.2044022E-04   9.6099074E-03
 oid:_196_best           -1.033200       8.3891170E-03   8.4600897E-03   1.5051936E-03   1.4814637E-02
 oid:_197_best          -0.4148997       8.8923718E-04   8.9002862E-04   2.5535186E-05   1.9138411E-03
 oid:_198_best          -0.5579898       5.2826489E-05   5.2829280E-05   2.7414221E-06   1.9048532E-03
 oid:_199_fair           0.2252062       1.8616864E-04   1.8620330E-04   1.5739719E-06   4.8781123E-04
 oid:_200_fair          -7.5107233E-02   1.4829448E-04   1.4831648E-04   1.3944459E-07   1.8186134E-04
 oid:_201_fair           0.1460147       2.9262522E-04   2.9271087E-04   1.0401134E-06   4.1949426E-04
 oid:_202_poor           6.8492629E-02   7.9264028E-06   7.9264657E-06   6.1974925E-09   3.5822970E-05
 oid:_204_best          -0.4712044       9.8686060E-05   9.8695800E-05   3.6522968E-06   1.4193049E-03
 oid:_205_fair           0.1662652       2.0357248E-07   2.0357253E-07   9.3793048E-10   1.6459332E-04
 oid:_207_best            1.125543       6.2223651E-03   6.2613254E-03   1.3220232E-03   1.3804017E-02
 oid:_208_best          -0.5015575       7.7362219E-03   7.7965377E-03   3.2688269E-04   9.2928041E-03
 oid:_209_best           0.2937244       6.2527443E-03   6.2920871E-03   9.0473968E-05   6.8051577E-03
 oid:_210_best           -1.719659       1.1963912E-02   1.2108781E-02   5.9680682E-03   2.9744945E-02
 oid:_211_best          -0.2538524       5.9272697E-03   5.9626117E-03   6.4039502E-05   6.3458336E-03
 oid:_212_best          -0.7754589       7.3975634E-07   7.3975689E-07   7.4140466E-08   3.5787085E-03
 oid:_214_best           0.1316596       7.1437583E-03   7.1951588E-03   2.0787112E-05   7.2982384E-03
 oid:_217_best          -0.3906439       6.9932002E-03   7.0424495E-03   1.7911613E-04   7.9500349E-03
 oid:_218_best           0.2166920       2.8203165E-03   2.8282932E-03   2.2133941E-05   3.1075256E-03
 oid:_219_fair          -0.2204653       2.6123774E-04   2.6130601E-04   2.1167951E-06   5.5034849E-04
 oid:_220_best          -0.8781468       5.9713807E-03   6.0072523E-03   7.7207387E-04   1.0596319E-02
 oid:_221_fair           5.0500121E-02   1.5379830E-06   1.5379853E-06   6.5371099E-10   1.6703111E-05
 oid:_222_best           0.3074540       2.4912749E-03   2.4974969E-03   3.9347226E-05   3.0596584E-03
 oid:_223_best           0.3068250       3.4867401E-04   3.4879563E-04   5.4726966E-06   9.0865916E-04
 oid:_224_best          -0.2271669       4.4423257E-03   4.4621480E-03   3.8378045E-05   4.7690307E-03
 oid:_225_best          -0.4501682       2.8221348E-03   2.8301218E-03   9.5588031E-05   4.0354261E-03
 oid:_226_best          -0.8838523       5.3005072E-03   5.3287523E-03   6.9379903E-04   9.9776938E-03
 oid:_227_best          -0.5533519       3.8398044E-03   3.8546053E-03   1.9671231E-04   5.6759589E-03
 oid:_228_best          -0.8069734       7.1601052E-04   7.1652356E-04   7.7767415E-05   4.5914075E-03
 oid:_229_best          -0.6826219       6.2535028E-03   6.2928552E-03   4.8871635E-04   9.0650249E-03
 oid:_231_best          -0.1038439       5.5738772E-03   5.6051194E-03   1.0073855E-05   5.6692443E-03
 oid:_232_best           -1.061230       9.3772109E-05   9.3780903E-05   1.7602814E-05   6.7982438E-03
 oid:_234_best          -0.1836646       8.0196864E-06   8.0197507E-06   4.5087958E-08   2.0861727E-04
 oid:_235_best          -0.8862955       2.0113156E-07   2.0113160E-07   2.6332139E-08   4.6749189E-03
 oid:_236_fair          -3.5300526E-02   2.4591900E-04   2.4597950E-04   5.1086955E-08   2.5338958E-04
 oid:_237_best          -9.2313833E-02   7.1403961E-04   7.1454983E-04   1.0148803E-06   7.6522524E-04
 oid:_238_fair           5.0820079E-02   2.9696774E-05   2.9697656E-05   1.2783259E-08   4.5055557E-05
 oid:_239_fair          -8.2874614E-02   2.7465346E-04   2.7472891E-04   3.1448226E-07   3.1557082E-04
 oid:_240_best           0.1207818       2.7829857E-03   2.7907523E-03   6.7853594E-06   2.8775023E-03
 oid:_241_fair           0.1479362       1.0069859E-04   1.0070873E-04   3.6733699E-07   2.3085097E-04
 oid:_242_best          -0.5985786       1.2120862E-08   1.2120862E-08   7.2381012E-10   2.1313717E-03
 oid:_243_poor          -4.6883709E-02   1.6784962E-06   1.6784990E-06   6.1491314E-10   1.4749383E-05
 oid:_244_best          -0.6814580       7.8203229E-03   7.8819624E-03   6.1004417E-04   1.0644681E-02
 oid:_245_best          -0.1757826       4.7314868E-07   4.7314891E-07   2.4366800E-09   1.8422228E-04
 oid:_246_best          -0.8443909       3.7677466E-03   3.7819962E-03   4.4942471E-04   8.0248008E-03
 oid:_247_best          -0.8997565       6.4052822E-03   6.4465744E-03   8.6981671E-04   1.1264460E-02
 oid:_248_best           5.1236060E-02   6.1327932E-03   6.1706365E-03   2.6997911E-06   6.1862468E-03
 oid:_249_best          -0.3121157       3.7717720E-02   3.9196108E-02   6.3638931E-04   3.9775446E-02
 oid:_250_best          -0.9104907       8.2068574E-03   8.2747672E-03   1.1432877E-03   1.3208381E-02
 oid:_251_best           0.6242397       4.5253565E-02   4.7398516E-02   3.0783374E-03   4.9716567E-02
 oid:_252_best           -1.088944       2.9845004E-03   2.9934343E-03   5.9160219E-04   1.0053042E-02
 oid:_253_best          -0.4899108       2.7438289E-03   2.7513782E-03   1.1006092E-04   4.1789475E-03
 oid:_254_best           2.5748317E-02   7.3286542E-04   7.3340290E-04   8.1038067E-08   7.3734528E-04
 oid:_255_best            1.058457       6.5316690E-03   6.5746121E-03   1.2276244E-03   1.3244001E-02
 oid:_256_best          -3.7265274E-02   2.8766052E-03   2.8849039E-03   6.6771134E-07   2.8931618E-03
 oid:_257_best          -0.6981947       6.4271543E-03   6.4687299E-03   5.2555828E-04   9.3688883E-03
 oid:_258_best           7.4328669E-02   2.8211599E-03   2.8291413E-03   2.6050502E-06   2.8619943E-03
 oid:_259_best           0.3120590       1.5732621E-07   1.5732623E-07   2.5534264E-09   5.7928651E-04
 oid:_264_best           6.6818846E-02   2.3132946E-03   2.3186583E-03   1.7253748E-06   2.3452080E-03
 oid:_265_best           0.5934533       1.8903250E-03   1.8939051E-03   1.1116806E-04   3.9889074E-03
 oid:_266_best          -0.4948910       6.6993514E-04   6.7038425E-04   2.7364764E-05   2.1271328E-03
 oid:_267_best           0.3514552       3.3453935E-03   3.3566228E-03   6.9102098E-05   4.0912263E-03
 oid:_268_best          -0.9390656       4.8713246E-03   4.8951705E-03   7.1946291E-04   1.0143605E-02
 oid:_270_best          -1.6025283E-03   7.8703813E-03   7.9328156E-03   3.3953735E-09   7.9328309E-03
 oid:_271_fair          -6.7181289E-02   2.4284627E-05   2.4285217E-05   1.8267849E-08   5.1123745E-05
 oid:_272_best           0.5330939       2.8416912E-03   2.8497894E-03   1.3497985E-04   4.5401895E-03
 oid:_274_fair          -0.3930419       5.8473137E-04   5.8507348E-04   1.5063879E-05   1.5038380E-03
 oid:_275_best           0.5189399       2.9659739E-02   3.0566329E-02   1.3719115E-03   3.2168123E-02
 oid:_276_best           0.3201422       1.5112779E-05   1.5113007E-05   2.5815797E-07   6.2463599E-04
 oid:_277_best           -1.186992       2.5372736E-03   2.5437277E-03   5.9733063E-04   1.0933706E-02
 oid:_278_best          -0.2176402       6.0142141E-03   6.0506037E-03   4.7766751E-05   6.3322854E-03
 oid:_279_best            2.294905       7.9432804E-03   8.0068813E-03   7.0281582E-03   3.9487565E-02
 oid:_280_fair          -0.1334450       3.2680771E-04   3.2691454E-04   9.7025854E-07   4.3280876E-04
 oid:_281_best          -0.6086432       2.9106804E-03   2.9191772E-03   1.8023321E-04   5.1228379E-03
 oid:_282_fair          -0.2452706       2.6882093E-04   2.6889321E-04   2.6959986E-06   6.2664108E-04
 oid:_283_best          -0.3828314       8.5315816E-03   8.6049958E-03   2.1019118E-04   9.4766369E-03
 oid:_284_best           0.5660603       1.8260704E-02   1.8600360E-02   9.9333443E-04   2.0506351E-02
 oid:_286_best           0.3372008       2.9651440E-03   2.9739623E-03   5.6358744E-05   3.6501791E-03
 oid:_287_fair          -0.1128572       9.2614724E-05   9.2623302E-05   1.9662010E-07   1.6836316E-04
 oid:_288_best          -0.5010521       1.4054507E-02   1.4254852E-02   5.9645432E-04   1.5748102E-02
 oid:_290_fair           0.1076393       2.7562302E-04   2.7569901E-04   5.3238455E-07   3.4459700E-04
 oid:_291_best          -0.3817835       1.0373239E-02   1.0481971E-02   2.5463958E-04   1.1348846E-02
 oid:_292_best          -0.2557929       2.1175102E-06   2.1175147E-06   2.3091494E-08   3.9122098E-04
 oid:_293_fair          -2.3726267E-02   2.1928782E-04   2.1933592E-04   2.0578672E-08   2.2268340E-04
 oid:_294_fair          -0.1381572       7.6490605E-05   7.6496456E-05   2.4335333E-07   1.9000159E-04
 oid:_295_fair          -0.2107073       2.6130275E-04   2.6137105E-04   1.9340388E-06   5.2539185E-04
 oid:_297_best            2.250325       7.0527100E-03   7.1028040E-03   5.9947209E-03   3.7366373E-02
 oid:_298_fair           6.7247957E-02   2.2677863E-04   2.2683007E-04   1.7096513E-07   2.5372189E-04
 oid:_299_best           0.1051882       7.2071249E-04   7.2123230E-04   1.3300199E-06   7.8702823E-04
 oid:_300_fair          -2.6556940E-02   1.9182567E-07   1.9182570E-07   2.2548187E-11   4.3857102E-06
 oid:_301_fair          -3.3026919E-02   3.2289213E-04   3.2299642E-04   5.8719532E-08   3.2948271E-04
 oid:_302_best          -0.5061238       6.3985580E-03   6.4397632E-03   2.7493639E-04   7.9634062E-03
 oid:_303_best          -0.6616120       8.5356230E-04   8.5429149E-04   6.2324903E-05   3.4583765E-03
 oid:_305_fair           0.2243561       2.5671201E-04   2.5677793E-04   2.1541813E-06   5.5611297E-04
 oid:_306_best            1.884609       8.8572305E-03   8.9363821E-03   5.2899699E-03   3.0130760E-02
 oid:_307_best            2.601339       9.3482314E-03   9.4364455E-03   1.0642685E-02   4.9945223E-02
 oid:_309_best           0.8702741       3.5290484E-03   3.5415467E-03   4.4704764E-04   8.0486460E-03
 oid:_310_best           -1.162763       1.2187622E-02   1.2337992E-02   2.7801983E-03   2.0388399E-02
 oid:_311_best          -0.1515966       7.4405722E-04   7.4461125E-04   2.8520494E-06   8.8127353E-04
 oid:_312_best           0.1598207       2.0190070E-06   2.0190110E-06   8.5951456E-09   1.5391170E-04
 oid:_313_best          -0.8066891       1.1511768E-05   1.1511901E-05   1.2485563E-06   3.8836660E-03
 oid:_314_best           0.5937362       2.8411686E-03   2.8492639E-03   1.6740500E-04   4.9462638E-03
 oid:_315_best           0.2560920       8.5169737E-07   8.5169809E-07   9.3095014E-09   3.9086580E-04
 oid:_316_best          -0.6801017       4.4445491E-03   4.4643913E-03   3.4415865E-04   7.2161226E-03
 oid:_317_best           0.8077189       3.2996980E-03   3.3106220E-03   3.5998036E-04   7.1926666E-03
 oid:_318_best          -0.1611989       7.1875038E-03   7.2395380E-03   3.1353354E-05   7.3940619E-03
 oid:_319_best           -1.115634       8.7141581E-03   8.7907622E-03   1.8235543E-03   1.6201047E-02
 oid:_321_best          -0.4164601       6.9303566E-03   6.9787216E-03   2.0173046E-04   8.0102497E-03
 oid:_322_best          -7.7447432E-02   8.5179961E-03   8.5911757E-03   8.5884619E-06   8.6268435E-03
 oid:_323_best           0.4867240       1.0955194E-02   1.1076540E-02   4.3733918E-04   1.2485590E-02
 oid:_326_best            2.108950       3.1745096E-03   3.1846192E-03   2.3606896E-03   2.9749337E-02
 oid:_327_fair           0.2627392       3.2740697E-04   3.2751420E-04   3.7681544E-06   7.3803918E-04
 oid:_328_best           0.8607874       2.1578319E-03   2.1624982E-03   2.6705229E-04   6.5718042E-03
 oid:_329_best          -0.4175469       6.8617690E-03   6.9091781E-03   2.0076394E-04   7.9460980E-03
 oid:_331_best          -7.3855913E-02   6.2387250E-03   6.2778911E-03   5.7073311E-06   6.3103275E-03
 oid:_332_best           -1.692335       6.1840205E-03   6.2225005E-03   2.9702034E-03   2.3301381E-02
 oid:_333_best          -0.5906004       9.5196681E-06   9.5197587E-06   5.5342928E-07   2.0844222E-03
 oid:_335_best          -0.7995099       3.0133621E-03   3.0224699E-03   3.2200186E-04   6.8259585E-03
 oid:_336_best           0.7036262       8.4204805E-04   8.4275769E-04   6.9540123E-05   3.7882442E-03
 oid:_337_fair          -5.2627219E-02   4.6202098E-04   4.6223454E-04   2.1336933E-07   4.7870410E-04
 oid:_339_best           0.3577831       1.7946726E-02   1.8274697E-02   3.8988688E-04   1.9035993E-02
 oid:_340_best          -0.2584479       2.7897049E-03   2.7975091E-03   3.1143416E-05   3.1947324E-03
 oid:_341_best           -1.177946       8.1873998E-03   8.2549867E-03   1.9090451E-03   1.6517342E-02
 oid:_342_best          -0.4790487       7.0108174E-03   7.0603160E-03   2.7004252E-04   8.4252682E-03
 oid:_343_best          -0.4979012       3.3458262E-04   3.3469461E-04   1.3828777E-05   1.8092228E-03
 oid:_345_best           -1.238990       8.4075959E-03   8.4788829E-03   2.1693159E-03   1.7621093E-02
 oid:_346_best          -0.4453737       2.8262463E-03   2.8342566E-03   9.3699464E-05   4.0140187E-03
 oid:_348_best          -0.6891054       9.0761359E-03   9.1592667E-03   7.2490450E-04   1.1984368E-02
 oid:_349_poor          -7.6426457E-02   7.6745542E-05   7.6751432E-05   7.4717562E-08   1.1148505E-04
 oid:_350_best           1.6980524E-03   2.4479471E-03   2.4539543E-03   1.1792812E-09   2.4539714E-03
 oid:_351_best           0.2786312       6.3830816E-03   6.4240870E-03   8.3122681E-05   6.8857794E-03
 oid:_352_best          -0.3275472       7.6139087E-04   7.6197103E-04   1.3624954E-05   1.4000201E-03
 oid:_354_fair           0.1042739       2.7991099E-05   2.7991882E-05   5.0726126E-08   9.2648892E-05
 oid:_355_fair          -0.2164337       4.3882735E-04   4.3902000E-04   3.4275411E-06   7.1758712E-04
 oid:_357_best           -1.232136       1.8812068E-03   1.8847524E-03   4.7689266E-04   1.0926042E-02
 oid:_358_best          -0.7626198       3.3544748E-02   3.4709054E-02   3.3644001E-03   3.8169389E-02
 oid:_359_best           0.5158386       1.0189318E-03   1.0199711E-03   4.5233922E-05   2.6026840E-03
 oid:_360_best          -0.6592167       2.4838537E-04   2.4844708E-04   1.7994469E-05   2.8337029E-03
 oid:_362_best          -0.1235857       2.8909518E-03   2.8993336E-03   7.3804625E-06   2.9901582E-03
 oid:_364_best          -4.4995598E-02   1.0841241E-04   1.0842416E-04   3.6585996E-08   1.2046345E-04
 oid:_365_best           0.3799180       4.8264581E-03   4.8498658E-03   1.1666971E-04   5.7082893E-03
 oid:_366_best          -0.8805452       1.6673956E-03   1.6701805E-03   2.1583182E-04   6.2843836E-03
 oid:_367_best           -1.356564       7.7593043E-03   7.8199819E-03   2.3984760E-03   1.8782936E-02
 oid:_368_fair          -0.2941926       4.8248396E-04   4.8271686E-04   6.9631313E-06   9.9742459E-04
 oid:_369_fair          -0.2454376       3.2827776E-04   3.2838556E-04   3.2969692E-06   6.8662062E-04
 oid:_370_fair          -0.1035160       3.5118497E-05   3.5119730E-05   6.2721291E-08   9.8840317E-05
 oid:_371_poor          -0.1398437       1.1149557E-05   1.1149682E-05   3.6341018E-08   1.2744289E-04
 oid:_372_best           -3.027317       1.5628755E-02   1.5876891E-02   2.4251028E-02   7.0865975E-02
 oid:_373_fair          -0.1023393       4.3406280E-04   4.3425130E-04   7.5800896E-07   4.9653136E-04
 oid:_374_best            1.343013       3.0659389E-06   3.0659483E-06   9.2166687E-07   1.0747846E-02
 oid:_375_best           0.9232518       2.9027517E-03   2.9112022E-03   4.1358181E-04   7.9842199E-03
 oid:_376_fair           7.2257330E-02   2.4609208E-04   2.4615265E-04   2.1419883E-07   2.7720012E-04
