obsval,obsnme,obgnme
45.0,i001fr09c15_19700101,i001fr09c15
17.853836,i001fr09c15_19700102,i001fr09c15
17.683207,i001fr09c15_19750101,i001fr09c15
17.588745,i001fr09c15_19750102,i001fr09c15
45.0,i001fr10c2_19700101,i001fr10c2
26.708902,i001fr10c2_19700102,i001fr10c2
26.597647,i001fr10c2_19750101,i001fr10c2
25.648752,i001fr10c2_19750102,i001fr10c2
45.0,i001fr14c11_19700101,i001fr14c11
17.728949,i001fr14c11_19700102,i001fr14c11
17.66483,i001fr14c11_19750101,i001fr14c11
17.525637,i001fr14c11_19750102,i001fr14c11
45.0,i001fr16c17_19700101,i001fr16c17
17.081364,i001fr16c17_19700102,i001fr16c17
17.04977,i001fr16c17_19750101,i001fr16c17
17.040236,i001fr16c17_19750102,i001fr16c17
45.0,i001fr22c11_19700101,i001fr22c11
16.564827,i001fr22c11_19700102,i001fr22c11
16.447199,i001fr22c11_19750101,i001fr22c11
16.26074,i001fr22c11_19750102,i001fr22c11
45.0,i001fr23c16_19700101,i001fr23c16
15.5478735,i001fr23c16_19700102,i001fr23c16
15.484225,i001fr23c16_19750101,i001fr23c16
15.495531,i001fr23c16_19750102,i001fr23c16
45.0,i001fr25c10_19700101,i001fr25c10
16.674145,i001fr25c10_19700102,i001fr25c10
16.515175,i001fr25c10_19750101,i001fr25c10
16.233826,i001fr25c10_19750102,i001fr25c10
45.0,i001fr25c5_19700101,i001fr25c5
19.704567,i001fr25c5_19700102,i001fr25c5
19.576694,i001fr25c5_19750101,i001fr25c5
18.92736,i001fr25c5_19750102,i001fr25c5
45.0,i001fr27c7_19700101,i001fr27c7
18.040215,i001fr27c7_19700102,i001fr27c7
17.904537,i001fr27c7_19750101,i001fr27c7
17.39509,i001fr27c7_19750102,i001fr27c7
45.0,i001fr30c16_19700101,i001fr30c16
13.990651,i001fr30c16_19700102,i001fr30c16
13.945924,i001fr30c16_19750101,i001fr30c16
13.89107,i001fr30c16_19750102,i001fr30c16
45.0,i001fr34c8_19700101,i001fr34c8
15.869706,i001fr34c8_19700102,i001fr34c8
15.751833,i001fr34c8_19750101,i001fr34c8
15.495491,i001fr34c8_19750102,i001fr34c8
45.0,i001fr35c11_19700101,i001fr35c11
13.827847,i001fr35c11_19700102,i001fr35c11
13.706552,i001fr35c11_19750101,i001fr35c11
13.631643,i001fr35c11_19750102,i001fr35c11
45.0,i001pr01c01_19700101,i001pr01c01
25.813099,i001pr01c01_19700102,i001pr01c01
25.707699,i001pr01c01_19750101,i001pr01c01
24.95337,i001pr01c01_19750102,i001pr01c01
45.0,i001pr01c02_19700101,i001pr01c02
25.542376,i001pr01c02_19700102,i001pr01c02
25.438107,i001pr01c02_19750101,i001pr01c02
24.700424,i001pr01c02_19750102,i001pr01c02
45.0,i001pr01c03_19700101,i001pr01c03
25.192156,i001pr01c03_19700102,i001pr01c03
25.090122,i001pr01c03_19750101,i001pr01c03
24.37753,i001pr01c03_19750102,i001pr01c03
45.0,i001pr01c04_19700101,i001pr01c04
24.825708,i001pr01c04_19700102,i001pr01c04
24.727737,i001pr01c04_19750101,i001pr01c04
24.05094,i001pr01c04_19750102,i001pr01c04
45.0,i001pr01c05_19700101,i001pr01c05
24.352495,i001pr01c05_19700102,i001pr01c05
24.260757,i001pr01c05_19750101,i001pr01c05
23.630365,i001pr01c05_19750102,i001pr01c05
45.0,i001pr01c06_19700101,i001pr01c06
23.844751,i001pr01c06_19700102,i001pr01c06
23.761826,i001pr01c06_19750101,i001pr01c06
23.184036,i001pr01c06_19750102,i001pr01c06
45.0,i001pr01c07_19700101,i001pr01c07
23.348715,i001pr01c07_19700102,i001pr01c07
23.278084,i001pr01c07_19750101,i001pr01c07
22.757933,i001pr01c07_19750102,i001pr01c07
45.0,i001pr01c08_19700101,i001pr01c08
22.779016,i001pr01c08_19700102,i001pr01c08
22.727505,i001pr01c08_19750101,i001pr01c08
22.275436,i001pr01c08_19750102,i001pr01c08
45.0,i001pr01c09_19700101,i001pr01c09
22.215055,i001pr01c09_19700102,i001pr01c09
22.190653,i001pr01c09_19750101,i001pr01c09
21.810364,i001pr01c09_19750102,i001pr01c09
45.0,i001pr01c10_19700101,i001pr01c10
21.713533,i001pr01c10_19700102,i001pr01c10
21.725739,i001pr01c10_19750101,i001pr01c10
21.4159,i001pr01c10_19750102,i001pr01c10
45.0,i001pr01c11_19700101,i001pr01c11
21.215082,i001pr01c11_19700102,i001pr01c11
21.286354,i001pr01c11_19750101,i001pr01c11
21.053774,i001pr01c11_19750102,i001pr01c11
45.0,i001pr01c12_19700101,i001pr01c12
20.650248,i001pr01c12_19700102,i001pr01c12
20.835846,i001pr01c12_19750101,i001pr01c12
20.69463,i001pr01c12_19750102,i001pr01c12
45.0,i001pr01c13_19700101,i001pr01c13
19.937197,i001pr01c13_19700102,i001pr01c13
20.382492,i001pr01c13_19750101,i001pr01c13
20.345669,i001pr01c13_19750102,i001pr01c13
45.0,i001pr01c14_19700101,i001pr01c14
18.565962,i001pr01c14_19700102,i001pr01c14
19.841455,i001pr01c14_19750101,i001pr01c14
19.931494,i001pr01c14_19750102,i001pr01c14
45.0,i001pr01c15_19700101,i001pr01c15
19.430492,i001pr01c15_19700102,i001pr01c15
19.905983,i001pr01c15_19750101,i001pr01c15
19.940575,i001pr01c15_19750102,i001pr01c15
45.0,i001pr01c16_19700101,i001pr01c16
19.668226,i001pr01c16_19700102,i001pr01c16
19.887476,i001pr01c16_19750101,i001pr01c16
19.881567,i001pr01c16_19750102,i001pr01c16
45.0,i001pr01c17_19700101,i001pr01c17
19.76707,i001pr01c17_19700102,i001pr01c17
19.873962,i001pr01c17_19750101,i001pr01c17
19.837929,i001pr01c17_19750102,i001pr01c17
45.0,i001pr01c18_19700101,i001pr01c18
19.815626,i001pr01c18_19700102,i001pr01c18
19.870129,i001pr01c18_19750101,i001pr01c18
19.815163,i001pr01c18_19750102,i001pr01c18
45.0,i001pr02c01_19700101,i001pr02c01
25.852291,i001pr02c01_19700102,i001pr02c01
25.746601,i001pr02c01_19750101,i001pr02c01
24.984598,i001pr02c01_19750102,i001pr02c01
45.0,i001pr02c02_19700101,i001pr02c02
25.568008,i001pr02c02_19700102,i001pr02c02
25.46322,i001pr02c02_19750101,i001pr02c02
24.717825,i001pr02c02_19750102,i001pr02c02
45.0,i001pr02c03_19700101,i001pr02c03
25.221329,i001pr02c03_19700102,i001pr02c03
25.118591,i001pr02c03_19750101,i001pr02c03
24.398827,i001pr02c03_19750102,i001pr02c03
45.0,i001pr02c04_19700101,i001pr02c04
24.855612,i001pr02c04_19700102,i001pr02c04
24.75659,i001pr02c04_19750101,i001pr02c04
24.072863,i001pr02c04_19750102,i001pr02c04
45.0,i001pr02c05_19700101,i001pr02c05
24.35801,i001pr02c05_19700102,i001pr02c05
24.26463,i001pr02c05_19750101,i001pr02c05
23.628246,i001pr02c05_19750102,i001pr02c05
45.0,i001pr02c06_19700101,i001pr02c06
23.830782,i001pr02c06_19700102,i001pr02c06
23.745203,i001pr02c06_19750101,i001pr02c06
23.16146,i001pr02c06_19750102,i001pr02c06
45.0,i001pr02c07_19700101,i001pr02c07
23.304405,i001pr02c07_19700102,i001pr02c07
23.229767,i001pr02c07_19750101,i001pr02c07
22.704056,i001pr02c07_19750102,i001pr02c07
45.0,i001pr02c08_19700101,i001pr02c08
22.713062,i001pr02c08_19700102,i001pr02c08
22.65468,i001pr02c08_19750101,i001pr02c08
22.195059,i001pr02c08_19750102,i001pr02c08
45.0,i001pr02c09_19700101,i001pr02c09
22.129778,i001pr02c09_19700102,i001pr02c09
22.093277,i001pr02c09_19750101,i001pr02c09
21.701424,i001pr02c09_19750102,i001pr02c09
45.0,i001pr02c10_19700101,i001pr02c10
21.601421,i001pr02c10_19700102,i001pr02c10
21.594141,i001pr02c10_19750101,i001pr02c10
21.268341,i001pr02c10_19750102,i001pr02c10
45.0,i001pr02c11_19700101,i001pr02c11
21.106228,i001pr02c11_19700102,i001pr02c11
21.141512,i001pr02c11_19750101,i001pr02c11
20.883575,i001pr02c11_19750102,i001pr02c11
45.0,i001pr02c12_19700101,i001pr02c12
20.589521,i001pr02c12_19700102,i001pr02c12
20.69138,i001pr02c12_19750101,i001pr02c12
20.507742,i001pr02c12_19750102,i001pr02c12
45.0,i001pr02c13_19700101,i001pr02c13
20.102737,i001pr02c13_19700102,i001pr02c13
20.296143,i001pr02c13_19750101,i001pr02c13
20.18243,i001pr02c13_19750102,i001pr02c13
45.0,i001pr02c14_19700101,i001pr02c14
19.861155,i001pr02c14_19700102,i001pr02c14
20.084787,i001pr02c14_19750101,i001pr02c14
19.979563,i001pr02c14_19750102,i001pr02c14
45.0,i001pr02c15_19700101,i001pr02c15
19.60881,i001pr02c15_19700102,i001pr02c15
19.815224,i001pr02c15_19750101,i001pr02c15
19.766783,i001pr02c15_19750102,i001pr02c15
45.0,i001pr02c16_19700101,i001pr02c16
19.640574,i001pr02c16_19700102,i001pr02c16
19.76558,i001pr02c16_19750101,i001pr02c16
19.708408,i001pr02c16_19750102,i001pr02c16
45.0,i001pr02c17_19700101,i001pr02c17
19.69226,i001pr02c17_19700102,i001pr02c17
19.754963,i001pr02c17_19750101,i001pr02c17
19.68032,i001pr02c17_19750102,i001pr02c17
45.0,i001pr02c18_19700101,i001pr02c18
19.734713,i001pr02c18_19700102,i001pr02c18
19.761808,i001pr02c18_19750101,i001pr02c18
19.67596,i001pr02c18_19750102,i001pr02c18
45.0,i001pr03c01_19700101,i001pr03c01
25.915123,i001pr03c01_19700102,i001pr03c01
25.809004,i001pr03c01_19750101,i001pr03c01
25.034582,i001pr03c01_19750102,i001pr03c01
45.0,i001pr03c02_19700101,i001pr03c02
25.636486,i001pr03c02_19700102,i001pr03c02
25.531126,i001pr03c02_19750101,i001pr03c02
24.773777,i001pr03c02_19750102,i001pr03c02
45.0,i001pr03c03_19700101,i001pr03c03
25.273329,i001pr03c03_19700102,i001pr03c03
25.16966,i001pr03c03_19750101,i001pr03c03
24.438986,i001pr03c03_19750102,i001pr03c03
45.0,i001pr03c04_19700101,i001pr03c04
24.894989,i001pr03c04_19700102,i001pr03c04
24.794601,i001pr03c04_19750101,i001pr03c04
24.101238,i001pr03c04_19750102,i001pr03c04
45.0,i001pr03c05_19700101,i001pr03c05
24.381449,i001pr03c05_19700102,i001pr03c05
24.285727,i001pr03c05_19750101,i001pr03c05
23.640038,i001pr03c05_19750102,i001pr03c05
45.0,i001pr03c06_19700101,i001pr03c06
23.806162,i001pr03c06_19700102,i001pr03c06
23.717165,i001pr03c06_19750101,i001pr03c06
23.126204,i001pr03c06_19750102,i001pr03c06
45.0,i001pr03c07_19700101,i001pr03c07
23.256788,i001pr03c07_19700102,i001pr03c07
23.176834,i001pr03c07_19750101,i001pr03c07
22.643793,i001pr03c07_19750102,i001pr03c07
45.0,i001pr03c08_19700101,i001pr03c08
22.600983,i001pr03c08_19700102,i001pr03c08
22.533781,i001pr03c08_19750101,i001pr03c08
22.066471,i001pr03c08_19750102,i001pr03c08
45.0,i001pr03c09_19700101,i001pr03c09
21.948679,i001pr03c09_19700102,i001pr03c09
21.898272,i001pr03c09_19750101,i001pr03c09
21.497086,i001pr03c09_19750102,i001pr03c09
45.0,i001pr03c10_19700101,i001pr03c10
21.431156,i001pr03c10_19700102,i001pr03c10
21.400314,i001pr03c10_19750101,i001pr03c10
21.056992,i001pr03c10_19750102,i001pr03c10
45.0,i001pr03c11_19700101,i001pr03c11
20.950115,i001pr03c11_19700102,i001pr03c11
20.942968,i001pr03c11_19750101,i001pr03c11
20.655758,i001pr03c11_19750102,i001pr03c11
45.0,i001pr03c12_19700101,i001pr03c12
20.462645,i001pr03c12_19700102,i001pr03c12
20.482403,i001pr03c12_19750101,i001pr03c12
20.25756,i001pr03c12_19750102,i001pr03c12
45.0,i001pr03c13_19700101,i001pr03c13
19.963924,i001pr03c13_19700102,i001pr03c13
20.00103,i001pr03c13_19750101,i001pr03c13
19.858675,i001pr03c13_19750102,i001pr03c13
45.0,i001pr03c14_19700101,i001pr03c14
19.403524,i001pr03c14_19700102,i001pr03c14
19.400412,i001pr03c14_19750101,i001pr03c14
19.372456,i001pr03c14_19750102,i001pr03c14
45.0,i001pr03c15_19700101,i001pr03c15
19.468357,i001pr03c15_19700102,i001pr03c15
19.50455,i001pr03c15_19750101,i001pr03c15
19.419144,i001pr03c15_19750102,i001pr03c15
45.0,i001pr03c16_19700101,i001pr03c16
19.520039,i001pr03c16_19700102,i001pr03c16
19.54677,i001pr03c16_19750101,i001pr03c16
19.432219,i001pr03c16_19750102,i001pr03c16
45.0,i001pr03c17_19700101,i001pr03c17
19.571869,i001pr03c17_19700102,i001pr03c17
19.577896,i001pr03c17_19750101,i001pr03c17
19.454279,i001pr03c17_19750102,i001pr03c17
45.0,i001pr03c18_19700101,i001pr03c18
19.610327,i001pr03c18_19700102,i001pr03c18
19.599295,i001pr03c18_19750101,i001pr03c18
19.472311,i001pr03c18_19750102,i001pr03c18
45.0,i001pr04c01_19700101,i001pr04c01
25.980154,i001pr04c01_19700102,i001pr04c01
25.87328,i001pr04c01_19750101,i001pr04c01
25.081154,i001pr04c01_19750102,i001pr04c01
45.0,i001pr04c02_19700101,i001pr04c02
25.719341,i001pr04c02_19700102,i001pr04c02
25.613203,i001pr04c02_19750101,i001pr04c02
24.839079,i001pr04c02_19750102,i001pr04c02
45.0,i001pr04c03_19700101,i001pr04c03
25.370512,i001pr04c03_19700102,i001pr04c03
25.265951,i001pr04c03_19750101,i001pr04c03
24.520607,i001pr04c03_19750102,i001pr04c03
45.0,i001pr04c04_19700101,i001pr04c04
24.943409,i001pr04c04_19700102,i001pr04c04
24.841507,i001pr04c04_19750101,i001pr04c04
24.135971,i001pr04c04_19750102,i001pr04c04
45.0,i001pr04c05_19700101,i001pr04c05
24.394217,i001pr04c05_19700102,i001pr04c05
24.296059,i001pr04c05_19750101,i001pr04c05
23.640242,i001pr04c05_19750102,i001pr04c05
45.0,i001pr04c06_19700101,i001pr04c06
23.828182,i001pr04c06_19700102,i001pr04c06
23.735332,i001pr04c06_19750101,i001pr04c06
23.134478,i001pr04c06_19750102,i001pr04c06
45.0,i001pr04c07_19700101,i001pr04c07
23.170645,i001pr04c07_19700102,i001pr04c07
23.084602,i001pr04c07_19750101,i001pr04c07
22.54507,i001pr04c07_19750102,i001pr04c07
45.0,i001pr04c08_19700101,i001pr04c08
22.408762,i001pr04c08_19700102,i001pr04c08
22.332659,i001pr04c08_19750101,i001pr04c08
21.86161,i001pr04c08_19750102,i001pr04c08
45.0,i001pr04c09_19700101,i001pr04c09
21.769241,i001pr04c09_19700102,i001pr04c09
21.704702,i001pr04c09_19750101,i001pr04c09
21.295048,i001pr04c09_19750102,i001pr04c09
45.0,i001pr04c10_19700101,i001pr04c10
21.240715,i001pr04c10_19700102,i001pr04c10
21.187603,i001pr04c10_19750101,i001pr04c10
20.827564,i001pr04c10_19750102,i001pr04c10
45.0,i001pr04c11_19700101,i001pr04c11
20.766176,i001pr04c11_19700102,i001pr04c11
20.724533,i001pr04c11_19750101,i001pr04c11
20.405737,i001pr04c11_19750102,i001pr04c11
45.0,i001pr04c12_19700101,i001pr04c12
20.296276,i001pr04c12_19700102,i001pr04c12
20.26092,i001pr04c12_19750101,i001pr04c12
19.980734,i001pr04c12_19750102,i001pr04c12
45.0,i001pr04c13_19700101,i001pr04c13
19.813244,i001pr04c13_19700102,i001pr04c13
19.767548,i001pr04c13_19750101,i001pr04c13
19.570538,i001pr04c13_19750102,i001pr04c13
45.0,i001pr04c14_19700101,i001pr04c14
19.294592,i001pr04c14_19700102,i001pr04c14
19.218342,i001pr04c14_19750101,i001pr04c14
19.450285,i001pr04c14_19750102,i001pr04c14
45.0,i001pr04c15_19700101,i001pr04c15
19.318958,i001pr04c15_19700102,i001pr04c15
19.263315,i001pr04c15_19750101,i001pr04c15
19.109997,i001pr04c15_19750102,i001pr04c15
45.0,i001pr04c16_19700101,i001pr04c16
19.341858,i001pr04c16_19700102,i001pr04c16
19.293283,i001pr04c16_19750101,i001pr04c16
19.097092,i001pr04c16_19750102,i001pr04c16
45.0,i001pr04c17_19700101,i001pr04c17
19.392374,i001pr04c17_19700102,i001pr04c17
19.345095,i001pr04c17_19750101,i001pr04c17
19.162085,i001pr04c17_19750102,i001pr04c17
45.0,i001pr04c18_19700101,i001pr04c18
19.441673,i001pr04c18_19700102,i001pr04c18
19.392246,i001pr04c18_19750101,i001pr04c18
19.221888,i001pr04c18_19750102,i001pr04c18
45.0,i001pr05c01_19700101,i001pr05c01
26.07893,i001pr05c01_19700102,i001pr05c01
25.971363,i001pr05c01_19750101,i001pr05c01
25.158197,i001pr05c01_19750102,i001pr05c01
45.0,i001pr05c02_19700101,i001pr05c02
25.820293,i001pr05c02_19700102,i001pr05c02
25.713339,i001pr05c02_19750101,i001pr05c02
24.919525,i001pr05c02_19750102,i001pr05c02
45.0,i001pr05c03_19700101,i001pr05c03
25.473923,i001pr05c03_19700102,i001pr05c03
25.368366,i001pr05c03_19750101,i001pr05c03
24.605103,i001pr05c03_19750102,i001pr05c03
45.0,i001pr05c04_19700101,i001pr05c04
25.031233,i001pr05c04_19700102,i001pr05c04
24.927929,i001pr05c04_19750101,i001pr05c04
24.207516,i001pr05c04_19750102,i001pr05c04
45.0,i001pr05c05_19700101,i001pr05c05
24.46854,i001pr05c05_19700102,i001pr05c05
24.368097,i001pr05c05_19750101,i001pr05c05
23.699738,i001pr05c05_19750102,i001pr05c05
45.0,i001pr05c06_19700101,i001pr05c06
23.78664,i001pr05c06_19700102,i001pr05c06
23.689812,i001pr05c06_19750101,i001pr05c06
23.081974,i001pr05c06_19750102,i001pr05c06
45.0,i001pr05c07_19700101,i001pr05c07
23.03429,i001pr05c07_19700102,i001pr05c07
22.941505,i001pr05c07_19750101,i001pr05c07
22.398045,i001pr05c07_19750102,i001pr05c07
45.0,i001pr05c08_19700101,i001pr05c08
22.247988,i001pr05c08_19700102,i001pr05c08
22.161499,i001pr05c08_19750101,i001pr05c08
21.687023,i001pr05c08_19750102,i001pr05c08
45.0,i001pr05c09_19700101,i001pr05c09
21.496658,i001pr05c09_19700102,i001pr05c09
21.417328,i001pr05c09_19750101,i001pr05c09
21.006277,i001pr05c09_19750102,i001pr05c09
45.0,i001pr05c10_19700101,i001pr05c10
20.955757,i001pr05c10_19700102,i001pr05c10
20.883474,i001pr05c10_19750101,i001pr05c10
20.517061,i001pr05c10_19750102,i001pr05c10
45.0,i001pr05c11_19700101,i001pr05c11
20.518497,i001pr05c11_19700102,i001pr05c11
20.45126,i001pr05c11_19750101,i001pr05c11
20.105104,i001pr05c11_19750102,i001pr05c11
45.0,i001pr05c12_19700101,i001pr05c12
20.07547,i001pr05c12_19700102,i001pr05c12
20.00433,i001pr05c12_19750101,i001pr05c12
19.625,i001pr05c12_19750102,i001pr05c12
45.0,i001pr05c13_19700101,i001pr05c13
19.634682,i001pr05c13_19700102,i001pr05c13
19.528376,i001pr05c13_19750101,i001pr05c13
18.924294,i001pr05c13_19750102,i001pr05c13
45.0,i001pr05c14_19700101,i001pr05c14
19.226273,i001pr05c14_19700102,i001pr05c14
18.986778,i001pr05c14_19750101,i001pr05c14
17.318567,i001pr05c14_19750102,i001pr05c14
45.0,i001pr05c15_19700101,i001pr05c15
19.116165,i001pr05c15_19700102,i001pr05c15
18.983067,i001pr05c15_19750101,i001pr05c15
18.39879,i001pr05c15_19750102,i001pr05c15
45.0,i001pr05c16_19700101,i001pr05c16
19.118258,i001pr05c16_19700102,i001pr05c16
19.016317,i001pr05c16_19750101,i001pr05c16
18.697779,i001pr05c16_19750102,i001pr05c16
45.0,i001pr05c17_19700101,i001pr05c17
19.164358,i001pr05c17_19700102,i001pr05c17
19.074032,i001pr05c17_19750101,i001pr05c17
18.837036,i001pr05c17_19750102,i001pr05c17
45.0,i001pr05c18_19700101,i001pr05c18
19.229774,i001pr05c18_19700102,i001pr05c18
19.14632,i001pr05c18_19750101,i001pr05c18
18.941404,i001pr05c18_19750102,i001pr05c18
45.0,i001pr06c01_19700101,i001pr06c01
26.187752,i001pr06c01_19700102,i001pr06c01
26.079376,i001pr06c01_19750101,i001pr06c01
25.242691,i001pr06c01_19750102,i001pr06c01
45.0,i001pr06c02_19700101,i001pr06c02
25.963213,i001pr06c02_19700102,i001pr06c02
25.855501,i001pr06c02_19750101,i001pr06c02
25.037937,i001pr06c02_19750102,i001pr06c02
45.0,i001pr06c03_19700101,i001pr06c03
25.616444,i001pr06c03_19700102,i001pr06c03
25.50998,i001pr06c03_19750101,i001pr06c03
24.724972,i001pr06c03_19750102,i001pr06c03
45.0,i001pr06c04_19700101,i001pr06c04
25.106535,i001pr06c04_19700102,i001pr06c04
25.002005,i001pr06c04_19750101,i001pr06c04
24.267096,i001pr06c04_19750102,i001pr06c04
45.0,i001pr06c05_19700101,i001pr06c05
24.487339,i001pr06c05_19700102,i001pr06c05
24.385046,i001pr06c05_19750101,i001pr06c05
23.707735,i001pr06c05_19750102,i001pr06c05
45.0,i001pr06c06_19700101,i001pr06c06
23.729208,i001pr06c06_19700102,i001pr06c06
23.628897,i001pr06c06_19750101,i001pr06c06
23.016878,i001pr06c06_19750102,i001pr06c06
45.0,i001pr06c07_19700101,i001pr06c07
22.82579,i001pr06c07_19700102,i001pr06c07
22.727192,i001pr06c07_19750101,i001pr06c07
22.189014,i001pr06c07_19750102,i001pr06c07
45.0,i001pr06c08_19700101,i001pr06c08
21.925627,i001pr06c08_19700102,i001pr06c08
21.828619,i001pr06c08_19750101,i001pr06c08
21.363676,i001pr06c08_19750102,i001pr06c08
45.0,i001pr06c09_19700101,i001pr06c09
21.13708,i001pr06c09_19700102,i001pr06c09
21.042923,i001pr06c09_19750101,i001pr06c09
20.643814,i001pr06c09_19750102,i001pr06c09
45.0,i001pr06c10_19700101,i001pr06c10
20.63399,i001pr06c10_19700102,i001pr06c10
20.545677,i001pr06c10_19750101,i001pr06c10
20.194614,i001pr06c10_19750102,i001pr06c10
45.0,i001pr06c11_19700101,i001pr06c11
20.21403,i001pr06c11_19700102,i001pr06c11
20.132318,i001pr06c11_19750101,i001pr06c11
19.815063,i001pr06c11_19750102,i001pr06c11
45.0,i001pr06c12_19700101,i001pr06c12
19.788967,i001pr06c12_19700102,i001pr06c12
19.714064,i001pr06c12_19750101,i001pr06c12
19.41945,i001pr06c12_19750102,i001pr06c12
45.0,i001pr06c13_19700101,i001pr06c13
19.349295,i001pr06c13_19700102,i001pr06c13
19.275063,i001pr06c13_19750101,i001pr06c13
19.009657,i001pr06c13_19750102,i001pr06c13
45.0,i001pr06c14_19700101,i001pr06c14
18.906096,i001pr06c14_19700102,i001pr06c14
18.815361,i001pr06c14_19750101,i001pr06c14
18.762928,i001pr06c14_19750102,i001pr06c14
45.0,i001pr06c15_19700101,i001pr06c15
18.737238,i001pr06c15_19700102,i001pr06c15
18.597603,i001pr06c15_19750101,i001pr06c15
18.343182,i001pr06c15_19750102,i001pr06c15
45.0,i001pr06c16_19700101,i001pr06c16
18.786146,i001pr06c16_19700102,i001pr06c16
18.649498,i001pr06c16_19750101,i001pr06c16
18.400726,i001pr06c16_19750102,i001pr06c16
45.0,i001pr06c17_19700101,i001pr06c17
18.895338,i001pr06c17_19700102,i001pr06c17
18.77323,i001pr06c17_19750101,i001pr06c17
18.54651,i001pr06c17_19750102,i001pr06c17
45.0,i001pr06c18_19700101,i001pr06c18
18.98295,i001pr06c18_19700102,i001pr06c18
18.871538,i001pr06c18_19750101,i001pr06c18
18.659628,i001pr06c18_19750102,i001pr06c18
45.0,i001pr07c01_19700101,i001pr07c01
26.328638,i001pr07c01_19700102,i001pr07c01
26.219421,i001pr07c01_19750101,i001pr07c01
25.355675,i001pr07c01_19750102,i001pr07c01
45.0,i001pr07c02_19700101,i001pr07c02
26.155275,i001pr07c02_19700102,i001pr07c02
26.046663,i001pr07c02_19750101,i001pr07c02
25.198856,i001pr07c02_19750102,i001pr07c02
45.0,i001pr07c03_19700101,i001pr07c03
25.835989,i001pr07c03_19700102,i001pr07c03
25.728474,i001pr07c03_19750101,i001pr07c03
24.912586,i001pr07c03_19750102,i001pr07c03
